1:37:001:1	Jóseph áádóó bínaaíké
1:37:022:0	Áko Rúben ánááhodoo'niid, Doo bidił doogoh da; kwe'é halgaigi t'óó a'áán góyaa adahołhan, áko doo atídadoohłíił da; dabílák'ee hadeeshtéełgo yisdádeeshtééł, áádóó bizhé'é bił baa nídeesht'ash dziniizį́į́'. 
1:37:023:0	Áko ákódzaago Jóseph hánaaíké baazhníyáago Jóseph ha'éétsoh naashch'ąą'ígíí t'áá na'níle'dii haa deidiyiiłhan. 
1:37:024:0	Áko ałts'ą́ą́' dahasiłgo a'áán góyaa adahasgo'; a'áán góyaa éí doo siláhí da; tó nidi ádin. 
1:37:025:0	Áko dineezbingo ada'niiyą́ą́'; nít'éé' hadaazghalgo dadéé'į́į́'; nít'éé' Gíliyad kéyahdóó Íshmeiyel dine'é Ííjip kéyahgóó yinéełgo łikání dahalchinii spáis wolyéii áádóó azee' índa tłah ílíinii mir wolyéii ghą́ą́'ask'idii yee dayíyeeh. 
1:37:026:0	Áko Judah éí bik'isóó áyidííniid, Nihitsilí daseelyį́įgo índa bidił nídadeel'į́įgoshą' ha'át'íí bits'ą́ą́dóó nídadidiilyééł? 
1:37:027:0	Tį', Íshmeiyel dine'é bich'į' nidahodiyiilnih, áko doo haada dahodiilníił da, háálá nihitsilí jílį́, índa nihits'íís jílį́. Áko bik'isóó bił t'áá da'ííko. 
1:37:028:0	Áko Mídiyan dine'é naalyéhé nayiiłniihii hwíighahgóó deeznáago a'áándę́ę́' Jóseph hadadzizlo', áko Jóseph éí Íshmeiyel dine'é bich'į' naho'diiznii'; naadiin béésh łigaii hą́ą́h azlį́į́'; áko Jóseph éí Ííjip kéyahdi hoł aníná.  
1:37:029:0	Áko Rúben a'áandi nídzídzá, nít'éé' Jóseph doo a'áán góyaa hólǫ́ǫ da, áko bąąh háni'go ádąąh ni'jooldláád. 
1:37:030:0	Hak'isóó baa náádzídzáago ábizhdííniid, Ashkii doo áadi da. Áko shíshą' háájí deeshááł? 
1:37:031:0	Áko tł'ízí dayiisxį́įgo bidił Jóseph bi'éétsoh yéédeistsooz, 
1:37:032:0	áko éétsoh naashch'ąą'ígíí bizhé'é yaa deistsoozgo ádaaní, Díidí nídadiiltsooz; díí niye' bi'éétsoh daats'í át'é, dooda daats'í? 
1:37:033:0	Áko yééhoosįįdgo ádííniid, Jó, shiye' bi'éétsoh át'é; naaldlooshii da'aldeełii boolghal sha'shin; t'áá aaníí Jóseph yę́ę nibi'diisdláád lá. 
1:37:034:0	Áko Jéíkab ádąąh na'ooldláadgo tł'oh yishbizh hatł'aajį' bik'ídzísti', áko haye' bąą háni'go lą'í yiską́. 
1:37:035:0	Áádóó haye'ké t'áá ałtso índa hatsi'ké t'áá ałtso hada'ahoyiiłniih doo biniyé haa dahaaskai, áko hadabi'joołniihígíí doo yinízingóó ádííniid, Shiye' bąą shíni', áko bikéé' łeeyi' góyaa deeshłeeł, níigo hazhé'é haa yicha. 
1:37:036:0	Áko Mídiyan dine'é éí Ííjip kéyahdi Féro bisiláo binanit'a'í Pátifer bich'į' Jóseph naho'diiznii'.
