44:12:001:1	James seesyį́, índa Peter yah abi'doolt'e'
44:12:010:0	Siláo aa ádahalyáanii átséhígíí índa náá'ákéé' góne'ígíí bíighah ch'ínáájít'áazhgo, kintahjį' ch'é'étiingo béésh dáádílkałígíí baazhní'áázh. Nít'éé' t'áá bíni'ídi há ąą ádzaa, áko ch'ízhní'áazhgo ła' kin bita'atiin góne' ajíí'áazhgo, t'áá áko diyingo naal'a'í hats'ą́ą́' dah diiyá. 
44:12:011:0	Áko Peter hazhó'ó ákozniizį́į'go ázhdííniid, Dííyee' t'áá aaníí! Bóhólníihii bidiyingo naal'a'í yiníł'a'go Hérad bílák'eedóó índa Jew dine'é shá nidayólíhígíí t'áá ałtso bits'ą́ąjį' yisdáshi'dooltį́į́ lá. 
44:12:012:0	Áádóó éí baa ákozniizį́į'go John éí Mark ałdó' yolyéhígíí bimá Mary bighangi jiníyá, ákwii diné lą'í áłah nilį́įgo sodadilzin lá. 
44:12:013:0	Áko kin biná'ástł'in bidáádílkał názneests'ingo at'ééd léi', Róda yolyéego íídóołts'įįł biniyé áajį' niníyá. 
44:12:014:0	Áko Peter biinéé' yééhoosįįdgo bił hóózhǫǫdgo biniinaa dáádílkał t'áadoo ąą ííléhí yah anáálwodgo, Peter tł'óó'dę́ę́' sizį́, níigo yaa hoolne'. 
44:12:015:0	Tsi'díníyáagoósh ádíní? dahałní. Nidi, T'áá aaníí, jiníigo bee nijíltee'. Éíyee' diyingo naal'a'í baa áhályánígíí át'į́! daaní. 
44:12:016:0	Nidi Peter t'ahdii dáádílkał néiniłts'ingo bá ąą dazdeeztą́ągo dajiiłtsą́, áko bik'ee t'óó hoł adahóóyóí. 
44:12:017:0	Nidi dadidoołhił biniyé bízh'deezhgishgo haash yit'éego Bóhólníihii awáalyaadę́ę́' hoł ch'ínát'ázhígíí bee bił ch'íhozhní'ą́. Áko, Díidí James índa ałk'isóó danilíinii bee bił dahodoołnih, jidííniidgo łahgóó dah náázdiidzá. 
44:12:018:0	Áko hoos'įįdgo Peter doo bééhoozinígíí biniinaa siláo bitahgóó ayóó át'éego hahodíídláád. 
44:12:003:1	Hérad daaztsą́ągi baa hane'
44:12:019:0	Áko Hérad ch'ééh hákaneeztą́ą'go biniinaa, siláo aa ádahalyánígíí atííł'į́įgo nayídééłkid, áádóó nidootsiłgo yee hooł'a'. Índa Judíyadóó Sesaríya góyaa Hérad jiníyáago áá dzizdáá nít'éé'. 
44:12:020:0	Íídą́ą́' Táirgi índa Sáídangi kéédahat'ínígíí t'áá íiyisí bich'į' Hérad báhóóchįįd, áko áádóó t'áá ła' bizhi'ee yaa yíkaigo, k'é náhodoodleeł deidííniid; éí biniyé aláahgo naat'áanii yá naal'a'í, Blástas yolyéego bich'ooní nilį́įgo ádayiilaa, háálá aláahgo naat'áanii bikéyah bits'ą́ą́dóó t'éí adazh'dilnah nít'éé'. 
44:12:021:0	Nihoot'ą́ bijį́į́ góne' Hérad aláahgo naat'áanii k'ehjí hadiidzaago bikáá'dóó nahat'áii yikáá'dóó dah neezdá, áko ayóó át'éego hach'į' niyáhaasti'. 
44:12:022:0	Áko diné hadadeeshghaazhgo ádaaní, Eiiyee' diyin biinéé' át'éé lá, doo diné biinéé' át'ée da! 
44:12:023:0	Nít'éé' Diyin God doo baa hojiniihígíí biniinaa t'ahaa'go Bóhólníihii bidiyingo naal'a'í atíhoolaa, áko ch'osh dahalghałgo hajííyol. 
44:12:024:0	Nidi Diyin God bizaad éí bilááh yileełgo k'ee'ąą yilzhish. 
44:12:025:0	Áádóó Jerúsalemgi Bárnabas índa Saul hanaanish ałtso ła'jiilaago John éí Mark ałdó' yolyéhígíí bił aníjookai.
