40:22:001:1	Iigehgo áda'azįįd binahjį' hane' bee ak'idi'dootį́įłii
40:22:025:0	Áko nihitahgi ashiiké tsosts'id yilt'éego t'áá ła' háájéé' lá; alą́ąjį'ígíí azyeh, nidi t'áadoo ba'áłchíní haleehí daaztsą́, áko hatsilí éí hwe'asdzą́ą́ nít'é'ígíí yaa náánádzá. 
40:22:026:0	T'áá ákót'éego akéé' góne' índa táá' góne' naagháhígíí ałdó' índa wónáásdóó t'áá tsosts'id yilt'éego ákódáát'įįd. 
40:22:027:0	Akéédę́ę́' índa éí asdzání daaztsą́. 
40:22:028:0	Áko aninéédę́ę́' náá'di'yiijeeh bijį́įdishą' díí tsosts'id yilt'é yę́ę éí háidíígíí be'asdzą́ą́ jílį́į doo? Háálá t'áá ałtso be'asdzą́ą́ jílį́į́ nít'éé'. 
40:22:029:0	Nidi Jesus hach'į' hanáánáádzíi'go áhodííniid, Nida'ayohsííh, háálá Diyin God bizaad bee ak'eda'ashchínígíí índa Diyin God bibee adziilii doo nihił béédahózin da. 
40:22:030:0	Jó, aninéédę́ę́' náá'di'yiijeeh baa hoolzhiizhdi, diné doo nááda'dooyeh da, doo nidi ahaa dabi'dii'níił da doo, nidi yá'ąąshdi Diyin God bidiyingo nidaal'a'ígíigi ádajít'ée doo. 
40:22:031:0	Nidi aninéédę́ę́' náá'di'yiijeeh bídéét'i'gi, Diyin God kóníigo yee nihich'į' haadzíi'iísh t'ah doo dayínółta' da? 
40:22:032:0	Shí Éíbraham biDiyin God áádóó Áízak biDiyin God índa Jéíkab biDiyin God nishłį́. Diyin God éí daneeznáanii doo biDiyin God jílį́į da, nidi dahináanii biDiyin God jílį́. 
40:22:004:1	Bik'eh ó'oo'níiłii ts'ídá aláahdi át'éii
40:22:033:0	Áko áłah ílínígíí éí deidiizts'ą́ą'go, hana'nitin yik'ee t'óó bił adahóóyóí. 
40:22:034:0	Nidi hó éí Sádjusii danilíinii t'áadoo yee hanáádaodziihígóó ádajiilaaígíí Férisii danilíinii yaa dahodiizts'ą́ą'go haa áłah silį́į́'. 
40:22:035:0	Áko ła', bee haz'áanii yik'eh hoo'į́įgo yína'niłtiní nilį́į́ léi' háka'iiłhilgo nahódééłkid, 
40:22:036:0	Na'nitiní, bee haz'áanii biyi'dóoshą' bik'eh ó'oo'níiłii háidíígíí ts'ídá aláahgo bee haz'ą́? 
40:22:037:0	Jesus áhodííniid,Nijéí t'áá át'é bee, áádóó nii' sizíinii t'áá át'é bee, índa níni' t'áá át'é beeBóhólníihii niDiyin God ayóó'ííní'ní.  
40:22:038:0	Éí ts'ídá aláahgo áádóó alą́ąjį' bik' eh ó'oo'níiłii át'é. 
40:22:039:0	Áádóó naaki góne'ígíí t'áá éigi ánáánát'é,T'áá ni ádíí'ní'nínígi át'éego bił kééhót'íinii ayóó'ííní'ní.  
40:22:005:1	David biye' bína'ídíkid
40:22:040:0	Áko díí naakigo bik'eh ó'oo'níiłii éí bee haz'áanii t'áá ałtso índa Diyin God yá dahalne'ii bina'nitin t'áá ałtso bitsé siláii át'é.  
40:22:041:0	Áádóó Férisii danilíinii áłah nilį́įgo łahgo Jesus nahódééłkid, 
40:22:042:0	kóníigo, Christshą' haa yit'éego baa nitsídaahkees? Éíshą' háí biye'? Áko ádahodííniid, David lá biye' ni. 
40:22:043:0	Áko Jesus áháłní, Ákoshą' haa yit'éego David, Níłch'i Diyinii yee Bóhólníihii yiłníigo kóní: 
40:22:044:0	Bóhólníihii éí shiBóhólníihii áyidííniid,Nida'ana'í bik'i dííníl'eezgo ániishłaajį' shinish'náájí dah sínídá. 
40:22:045:0	Áko David, shiBóhólníihii hałníigo, ha'át' éegoshą' biye' jílį́? 
40:22:046:0	Áko diné ła'da saad t'ááłá'í nidi doo yee hach'į' hanáánáodziih át'ée da, índa éí bijį́į́dóó diné t'áá ałtso t'ááłáhígo ninááhódídóołkiłgi nidi hats'ąą dáátiid.
