10:23:001:1	David éí akée'di saad yee hahaasdzíi'ii
10:23:016:0	Áko díí diné táa' go ayóó ádabóodziilígíí Filístiya bisiláo dah yinééł góne' bił ch'ízhníjée'go Béthlehemgi yah a'atiinígi tó hahadleehdóó tó hadeizlo'go David yá nídeizką́ , nidi t'áadoo yoodlą́ą́'góó t'óó Bóhólníihii bich'į'go yayiiziid .
10:23:017:0	Áádóó David ání , Bóhólníihii nílíinii , díí ádeeshníłígíí doo shit'áahjį' bił nitséskees da doo . Da' díísh doo diné be'iina' ninádeiz'ą́ągo dabidił át'ée da ? Éí bąą tó t'áadoo yoodlą́ą' da . Díí diné táa'go ayóó ádabóodziilígíí ákódáát'įįd .
10:23:018:0	Zerowáíyah biyáázh Jó'ab bik'is Abísheiyai éí akéédę́ę́' táa'go nibidee'nilígíí ajítahgo aláahgo hóhólnííh ; éí bitsiidétáán néidiitą́ągo yee táadi neeznádiin diné neistseed , áko diné tált'éhígíí atah jílį́ ho'di'ní .
10:23:019:0	Doósh éí diné tált'éhígíí bitahdóó hó aláahgo diné bił jíílįįd da ? Éí bąą hó alą́ąjį' ho'diilzį' ; azhą́ táa'go aląąjį' nibidee'nilígíí doo ajítah da nidi , t'áá alą́ąjį' dzizį́ .
10:23:020:0	Áádóó diné doo nánílyéesii Jiihóíyada biye' Biinéíyah éí Kábziyel kin haal'áádóó diné ayóó át'eego na'abaah yee nilíinii binálí jílį́ . Éí Mó'ab dine'é naakigo naayéé' nilíinii nidzistseed áádóó łah yidzaazgo a'áán góyaa ajííyáago náshdóítsoh bitsiijį' ditł'ooígíí jiisxį́ .
10:23:021:0	Áádóó Ííjip dine'é jiisxį́ ; éí diné ayóó át'éii nineezii nilį́į́ nít'éé' áádóó Ííjip dine'é nilį́įgo tsiidétáán neitin , nidi Biinéíyah éí gish t'éí jootį́įłgo ákóyaa bich'į' jiníyá áádóó Ííjip dine'é bitsiidétáán bílák'ee hajiyííłhan , áko t'áá bí bitsiidétáán bee jiisxį́ .
10:23:022:0	Áko díigi át'éego Jiihóíyada biye' Biinéíyah kwáát'įįd ; kót'éego diné táa'go ayóó ádaat'éii atah jílį́ ho'di'ní .
10:23:023:0	Áko éí diné tádiinígíí bitahdóó aláahgo diné bił jíílįįd , nidi diné táa'go aląąjį' nibidee'nilígíí doo ajítah da . Áko David hak'i dadéez'į́į'ii yee bóhólníihgo ájiilaa .
10:23:024:0	Jó'ab bik'is Éísahel éí tádiinígíí ajítah , áádóó Béthlehem kin shijaa'dóó Dódo biye' Elhéínan ałdó' ,
10:23:025:0	Héírad dine'é Shámmah ałdó' , Héírad dine'é Iiláíka ałdó' ,
10:23:026:0	Páltai dine'é Híílez ałdó' , Tekówa dine'é Íkesh biye' Áíra ałdó' ,
10:23:027:0	Ánethathdóó dine'é Éíbiyíízer ałdó' , Húshai dine'é Miibónai ałdó' ,
10:23:028:0	Ahówah dine'é Zálmon ałdó' , Niitófahdóó dine'é Maharéíyai ałdó' ,
10:23:029:0	Niitófahdóó dine'é Béíyanah biye' Hííleb ałdó' , Bénjamin dine'é bikin haal'áhígíí Gíbiyahdóó dine'é Ráíbai biye' Ítayai ałdó' ,
10:23:030:0	Pírathandóó dine'é Biinéíyah ałdó' , Géíyash tó danílínídóó dine'é Hídeiyai ałdó' ,
10:23:031:0	Áraba haz'ą́ą́dóó dine'é Ábai-álban ałdó' , Barhúmai dine'é Azméíveth ałdó' ,
10:23:032:0	Sheiyálbimdóó dine'é Iiláíyaba ałdó' , Jéíshen biye' ła' Jánathan ałdó' ,
10:23:033:0	Héírad dine'é Shámmah ałdó' , Héírad dine'é Shéírer biye' Aháíyam ałdó' ,
10:23:034:0	Méíyakah dine'é biye' Ahásbai biye' Iilífalet ałdó' , Gáílodóó dine'é Ahíthofel biye' Iiláíyim ałdó' ,
10:23:035:0	Kármeldóó dine'é Híízreiyai ałdó' , Árba dine'é Péíyarai ałdó' ,
10:23:036:0	Zóbahdóó Néíthan biye' Áígal ałdó' , Géed dine'é Béínai ałdó' ,
10:23:037:0	Áman dine'é Zíílek ałdó' , Biyérathdóó dine'é Néíharai ałdó' , éí Zerowáíyah biyáázh Jó'ab bibee na'abaahí yá neijaah nít'éé' ,
10:23:038:0	Íthra dine'é Áíra ałdó' , Íthra dine'é Géíreb ałdó' ,
10:23:039:0	Het dine'é Yuráíyah ałdó' , éí t'áá ałtsogo tádiindóó ba'aan tsosts'id jilt'é .
