26:16:001:1	Jerusalem—an Unfaithful Wife
26:16:038:0	I will punish you for your murder and adultery . I will cover you with blood in my jealous fury .
26:16:039:0	Then I will give you to these many nations who are your lovers , and they will destroy you . They will knock down your pagan shrines and the altars to your idols . They will strip you and take your beautiful jewels , leaving you stark naked .
26:16:040:0	They will band together in a mob to stone you and cut you up with swords .
26:16:041:0	They will burn your homes and punish you in front of many women . I will stop your prostitution and end your payments to your many lovers .
26:16:042:0	“ Then at last my fury against you will be spent , and my jealous anger will subside . I will be calm and will not be angry with you anymore .
26:16:043:0	But first , because you have not remembered your youth but have angered me by doing all these evil things , I will fully repay you for all of your sins , says the Sovereign Lord . For you have added lewd acts to all your detestable sins .
26:16:044:0	Everyone who makes up proverbs will say of you , ‘ Like mother , like daughter . '
26:16:045:0	For your mother loathed her husband and her children , and so do you . And you are exactly like your sisters , for they despised their husbands and their children . Truly your mother was a Hittite and your father an Amorite .
26:16:046:0	“ Your older sister was Samaria , who lived with her daughters in the north . Your younger sister was Sodom , who lived with her daughters in the south .
26:16:047:0	But you have not merely sinned as they did . You quickly surpassed them in corruption .
26:16:048:0	As surely as I live , says the Sovereign Lord , Sodom and her daughters were never as wicked as you and your daughters .
26:16:049:0	Sodom 's sins were pride , gluttony , and laziness , while the poor and needy suffered outside her door .
26:16:050:0	She was proud and committed detestable sins , so I wiped her out , as you have seen .
26:16:051:0	“ Even Samaria did not commit half your sins . You have done far more detestable things than your sisters ever did . They seem righteous compared to you .
26:16:052:0	Shame on you ! Your sins are so terrible that you make your sisters seem righteous , even virtuous .
26:16:053:0	“ But someday I will restore the fortunes of Sodom and Samaria , and I will restore you , too .
26:16:054:0	Then you will be truly ashamed of everything you have done , for your sins make them feel good in comparison .
26:16:055:0	Yes , your sisters , Sodom and Samaria , and all their people will be restored , and at that time you also will be restored .
26:16:056:0	In your proud days you held Sodom in contempt .
26:16:057:0	But now your greater wickedness has been exposed to all the world , and you are the one who is scorned—by Edom and all her neighbors and by Philistia .
26:16:058:0	This is your punishment for all your lewdness and detestable sins , says the Lord .
26:16:059:0	“ Now this is what the Sovereign Lord says : I will give you what you deserve , for you have taken your solemn vows lightly by breaking your covenant .
26:16:060:0	Yet I will remember the covenant I made with you when you were young , and I will establish an everlasting covenant with you .
26:16:061:0	Then you will remember with shame all the evil you have done . I will make your sisters , Samaria and Sodom , to be your daughters , even though they are not part of our covenant .
26:16:062:0	And I will reaffirm my covenant with you , and you will know that I am the Lord .
26:16:063:0	You will remember your sins and cover your mouth in silent shame when I forgive you of all that you have done . I , the Sovereign Lord , have spoken ! ”
