9:9:001:1	Saul aláahgo naat'áanii biniyé nábi'diiltį́
9:9:015:0	Bóhólníihii éí Sámuel yił hoolne'go t'ááłá'í yiską́ hadziihgo Saul doogáałgo ání ,
9:9:016:0	Yiską́ągo kóhoodzaago diné ła' naa deesh'aałígíí éí dinéhígíí Bénjamin dine'é bikéyahdę́ę́' naaghá , áko ak'ah bik'i yeidííziłgo ats'ádííłtéełgo shidine'é Ízrel yinant'áa doo . Ákohgo Filístiya dine'é bits'ą́ąjį' shidine'é yisdéidoonił , háálá shidine'é bich'į' nidahwii'nánígíí nish'į́įgo shich'į' daachago diséts'ą́ą́' .
9:9:017:0	Áádóó Sámuel éí Saul yiyiiłtsą́ągo Bóhólníihii ábidííniid , Shoo , eii diné bee nił hweeshne'ígíí át'į́ ! Díí lą́ą shidine'é yinant'áa doo .
9:9:018:0	Áko Saul ch'é'étiingi Sámuel bich'į' nizhníyáago ájíní , Shił hólne' , baa nánooshkąąh , háadishą' náásgóó ádahodooníiłii yaa halne'ii bighan ?
9:9:019:0	Sámuel éí Saul áyidííniid , Shí náásgóó ádahodooníiłii yaa halne'ii nishłį́ . Nílááh , aláahgo yanáalk'id bikáa'jį' shilą́ąjį' hasínááh , háálá díí jį́ nił adeeshį́į́ł , áádóó yiską́ągo néé'níshníihgo índa baa nitsíníkeesígíí t'áá át'é bee nił hodeeshnih .
9:9:020:0	Táá' yiskánídą́ą́' nitélii yóó'eekaígíí t'áadoo bąąh níni'í , háálá éí shónáozt'e' . Háí diné shį́įshą' Ízrel dine'é t'áá ałtso yinízinii jílį́ ? Jó , éí t'áá ni áádóó nizhé'é bighandóó danilíinii ałdó' .
9:9:021:0	Saul ánáázhdí'ní , Shí éí Bénjamin dine'é nishłį́įgo Ízrel dine'é bitahdóó t'áá ałtso bi'ohgo áníilt'e' . Áádóó shizhé'é bighandóó Bénjamin dine'é danilíinii t'áá ałtso ayáhígo ádaat'é . Ha'át'éegishą' bee ákót'éego shich'į' yáníłti' ?
9:9:022:0	Ákohgo Sámuel éí Saul áádóó bá naal'a'í yił dah yidii'eezhgo wóne'é yah ayíí'eezh ; áadi ánda'iikaah bá haz'ánígi yił da'dooyį́į́ł biniyé yił dah dineezbin .
9:9:023:0	Sámuel éí ch'iyáán ííł'íní áyidííniid , Atsį' hasht'e'nidííkááł , nidííniid yę́ę nídiikaah ; tádiin daats'í yilt'éego nidahaaskai lá .
9:9:024:0	Áko ch'iyáán ííł'íní éí ajáád t'áá át'é nízhdiiką́ągo Saul biyaa nizhníką́ , áádóó Sámuel ádííniid , Shoo , kǫ́ǫ́ ná'ánászįįdígíí niyaa niiką́ągo niyą́ . Diné bee bi'níłnii'dóó wóshdę́ę́' ná hasht'e'siką́ągo áajį' ahoolzhiizh . Éí bijį́ Saul éí Sámuel bił ajííyą́ą́' .
9:9:025:0	Áádóó aláahgo yanáalk'idę́ę́' hadáájoot'áazhgo kin haal'áhíjį' ajíí'áázh . Kin bighą́ą'di Sámuel éí Saul bił ahił nahodzisne' .
9:9:026:0	Ákohgo hayííłką́ągo Sámuel éí kin bighą́ą́'góó Saul yíká ádííniid , Nídiidááh , níláhgóó néé'deeshnih . Ákohgo Saul nídii'na' áádóó t'áá ájíłah kin bitah ch'ída'iiztiiníjį' ch'ízhní'áázh .
9:9:027:0	Áádóó k'adę́ę kin haal'áádóó ch'íjíkáahgo Sámuel éí Saul áyidííniid , Ninaal'a'í nihilą́ąjį' yínááł , bidiní , áádóó ákǫ́ǫ́ dah diiyáago ni éí t'áá kwe'é t'óó kónízahíjį' shiba' sínízį́į doo , áko Diyin God bizaad bee nił hodeeshnih .
