19:89:001:1	Diyin God éí David yił aha'deet'ą́
19:89:025:0	Tónteel ałdó' bee hóhólníihgo áhodeeshłííł áádóó hála' nish'náájí bee tooh danílínígíí bee hóhólníih doo .
19:89:026:0	ShiTaa' nílį́ , shiDiyin God , tsé bee yisdéíyáii nílį́ , níigo shich'į' hadoodzih .
19:89:027:0	Alą́ąjį' yizhchíinii shíí' jílį́įgo ałdó' áhodeeshłííł . Nahasdzáán bikáa'gi aláahgo naat'áanii danilíinii bitisdi aláahgo naat'áanii jílį́įgo áhodeeshłííł .
19:89:028:0	Haa a'ááh nisinígíí hool'áágóó bee haa áháshyą́ą doo áádóó hoł ahadi'nisht'áanii bidziilgo hoł íínísin doo .
19:89:029:0	Hats'ą́ą́dóó oochíłígíí hool'áágóó hólǫ́ǫgo ádeeshłííł áádóó yót'ááh bił yoołkáłígi át'éego hool'áágóó hojoo'áałgo áhodeeshłííł .
19:89:030:0	Ha'áłchíní éí shibee haz'áanii yóó'adeideez'ą́ągo áádóó bee nihodiish'aahii doo yik'ehgo deíkááhgóó ,
19:89:031:0	bee nihoyí'áanii doo bił dáálįįdgóó índa shibik'eh ó'oo'níiłii doo yik'eh dahół'į́į́góó ,
19:89:032:0	áko bee haz'áanii nidajiitíihii biniinaa tsin bee náhodínéeshxał ; doo ákwii ádáát'įįdii biniinaa be'atsxis bee atídadeeshłííł .
19:89:033:0	Ákondi t'áadoo ánásįįhí haa a'ááh nisin doo ; bee shaa hodzódlíhígíí doo bee shiyooch'íid da .
19:89:034:0	Shibee aha'deet'áanii ts'ídá bi'deeshłííł , índa saad bee hahásdzíi'ii doo łahgo áńdeeshdlíił da .
19:89:035:0	Diyin nishłínígíí binahjį' t'áá aaníí ádíshníigo David doo dínéesh'ahgóó t'ááłáhídi bee ádee hadeesdzíí' .
19:89:036:0	Bits'ą́ą́dóó oochíłígíí hool'áágóó hólǫ́ǫ doo . Jį́honaa'éí yigáłígi át'éego hojoo'áał doo .
19:89:037:0	Ooljéé' nahalingo hool'áágóó bibikáá'dóó nahat'áii hasht'eilyaa doo . Éí yá'ąąshdi t'áá aaníígóó halne'ígíí nahalingo bibikáá'dóó nahat'áii niłdzilgo si'ą́ą doo . Síilah .
19:89:038:0	Nidi k'ad ak'ah bik'i yeiniziidgo yínísį́į'ii nahjį' ahoyíníłhango doo honinizį́į' da áádóó hach'į' t'áá íiyisí t'óó báhádzidgo bee atí'éł'íinii bee hach'į' atsííníkééz .
19:89:039:0	Ná naal'a'í bee bił aha'díínít'áanii nahjį' kwíinilaa . Binaat'á ch'ah baa náádini'ą́ągo łeeshtahjį' ahííníłhango doo ílį́į́góó íinilaa .
19:89:040:0	Tsé ahéédaastł'in bí nít'éé' yę́ę ałtso nahíníłkaad . Bee dabidziilgo nahaz'ánígóó déíníłchxǫ' .
19:89:041:0	Bą́ą́h hidikáhígíí t'áá ałtso bighada'ii'nííł . Yił kééhat'íinii t'óó bá nidahałt'i' silį́į́' .
19:89:042:0	Bi'ana'í danilíinii bigaan nish'náájí dabidziilgo íinilaa . Bi'ana'í t'áá ałtso t'áá íiyisí bił dahózhǫ́ǫgo íinilaa .
19:89:043:0	Bidiltłish bik'ą́ą́h ííníłchxąą' áádóó na'abaah doo yíneel'ą́ą́góó íinilaa .
19:89:044:0	Yee ayóó át'éii bits'ą́ą́' náádindlá ; bibikáá'dóó nahat'áii ni'jį' naa'ahíníłhan .
19:89:045:0	Tsíłkéí nilį́įgo bíyoołkáłígíí bits'ą́ą́' áłts'ísígo íinilaa ; t'áá ałtsogóó t'óó haa yáhásingo áhwiinilaa . Síilah .
19:89:046:0	Bóhólníihii nílíinii , haa nízáágóoshą' ákót'ée doo ? Hool'áágóósh nídidíít'į́į́ł ? Da' t'óó báhádzidgo atí'éł'íiniísh kǫ' nahalingo diltłi' doo ?
19:89:047:0	She'iina' áníłtsogi béénílniih ! T'áadoo biniyéhígóósh diné ádeinilaa ?
19:89:048:0	Háí diné shį́įshą' doo dadootsaał da ? Háishą' jishcháá' bits'ą́ąjį' bii' sizíinii háidoołtééł ? Síilah .
19:89:049:0	Bóhólníihii nílíinii , t'áá shiidą́ą'dii aa a'ááh nínízinii David bich'į' bee na'ahódlíii bee hahíínídzíi'iishą' háájí ?
19:89:050:0	Bóhólníihii nílíinii , ná naal'a'í danilíinii bá nidahat'i'ígíí béénílniih ; dadine'é ayóó ádabóodziilii t'áá ałtso shí da'ats'ihgo shi'diił'á .
19:89:051:0	Bóhólníihii nílíinii , éidí yee ni'ana'í ándahałt'i' áádóó ak'ah bik'i yeiniziidgo yínísį́į'ii bikék'eh hashchį́į́góó yigáałgo t'áá éí ałdó' yee yaa daadloh .
19:89:052:0	Bóhólníihii hool'áágóó baa dahohniih ! T'áá ákót' ée le' áádóó t'áá ákót'ée doo .
