3:18:001:1	Na'ageh ts'ídá doo bee haz'ą́ą da
3:18:017:0	Asdzání ła' bich'é'é biłgo doo t'áá łichí'ígo ádíílíił da, doodaii' biyáázh bitsi', doodaii' éí bich'é'ígíí náábich'é'égo t'áá bił doo t'áá łichí'ígo ádíílíił da, háálá éí áhánígo dabik'éí danilį́, ákónít'į́įgo doo yá'áshxónígi ííníł'įįd doo. 
3:18:018:0	Ne'asdzą́ą́ yił háá'áázh niniinaa doo yił ahoolch'į́įd da doo biniyé doo t'áá łichí'ígo ádíílíił da; ła'ígíí t'ah hináago doo bił ahíidííłtsoł da. 
3:18:019:0	Asdzání ła' t'ááká baatįįh wóóya'go t'áá łichí'ígo áwóólééh lágo, jó, éí ąądii silį́į'go t'ah doo bi'didééhgóó át'é. 
3:18:020:0	Bił kééhót'íinii ła' be'asdzą́ą́ doo bił díníítish da, áko doo ádidíílchxǫǫł da. 
3:18:021:0	Niha'áłchíní dadidoodliłgo Mólek diyin bidi'níinii t'áadoo bich'į' ninádahidoh'aahí, doodaii' nihiDiyin God bízhi' doo dílzingóó doo ádadoohłíił da. Shí Bóhólníihii nishłį́. 
3:18:022:0	T'áá asdzání bił ashtézhígi át'éego náánáła' diné doo bił díníítish da; éí doo haldinígi áhát'íinii át'é. 
3:18:023:0	Doodaii' t'ááká naaldlooshii ła' bił nóóteeshgo ádóólchxǫǫh lágo, doodaii' t'ááká asdzání ła' naaldlooshii t'óó yá sizį́įgo bá óyeh lágo, jó, éí doo ál'į́į da.  
3:18:024:0	Díí kódahooníłígíí doo ła' bee ádidoołchxǫǫł da; jó, díí t'áá ałtso éí ał'ąą dine'é yee ádadoolchxǫ'go danihits'ą́ąjį' ch'íhinishkaad. 
3:18:025:0	Áko díí kéyahgóó bee dahóóchxǫ'; éí bąą ákwii doo ákwii át'éii ádajiilaaígíí hak'i náhwiidleehgo bee haa nídéesht' įįł, áko ákwii kéédahojit'ínígíí hakéyah hwénálkwigo haz'ą́. 
3:18:026:0	Éí bąą bee nihodiyé'áanii índa bee nihodiish'aahii bik'ehgo ádanoht'ée doo, áádóó éí doo haldinígi ádahat'íinii t'ááká t'áá bik'eh dayínóhkááh yíila'; nihidine'é, doodaii' dé'éyóní nihitahgi t' óó átsééd kéédahat'íinii ła' t'ááká t'áá yik'eh ádaat'į́ yíila'. 
3:18:027:0	(Jó, t'áá nihítséedi kéyahgi diné kéédahat'į́į́ nít'é'ígíí díí doo haldinii t'áá ałtso yaa nidaaskai, áko éí bee kéyahgóó dahóóchxǫ'.) 
3:18:028:0	Áko kéyah doo nihídidoołkoh da biniyé kót'éego doo dadoołchxǫǫł da; shą́ą́' ał'ąą dine'é ákódaat'į́įgo nihilą́ąjį' kéyah bídeeskwi ni'. 
3:18:029:0	Háálá t'áá háiida díí doo haldinígi ádzaii éí bidine'é bits'ą́ąjį' bidi'yoolyééł. 
3:18:030:0	Éí bąą shibik'eh hoogáałii bida'oł'į́, áko díí bibee é'él'į' doo yildinii doo ła' bik'eh ádoohníił da; jó, t'áá nihilą́ąjį' yaa nidaaskai, áko éí doo ła' bee ádadidoołchxǫǫł da. Shí Bóhólníihii nihiDiyin God nishłį́.
