3:13:001:1	Łóód ats'íís yiyáanii bá bee haz'áanii
3:13:047:0	Áádóó ałdó' éé' ła' éí aghaa' bee ályaii, doodaii' na'at'ą́hí łigaii dits'idgo bee ályaii naałniih łóód ats'íís yiyáanii naałdzidii bąąh hazlį́į'go, 
3:13:048:0	na'at'ą́hí łigaii dits'idgo bee ályaii, doodaii' aghaa' bee nanoolzhee' ályaii, doodaii' beistł'ónígíí łóód bąąh hazlį́į'go, doodaii' akágída, doodaii' t'áá ha'át'íhída akágí bee ályaii łóód bąąh hazlį́į'go, 
3:13:049:0	tátł'id nahalingo adiiłtł'íishii índa iiłchíihii éí éé', doodaii' akágí, doodaii' binanoolzhee'ígíí, doodaii' beistł'ónígíí naałniih bąąh hazlį́į'go índa t'áá ha'át'íhída akágí bee ályaii bąąh yiiltsą́ągo éí naałniih łóód ats'íís yiyáanii naałdzidii át'é; éí náá'iiłniihii yidínóoł'įįł. 
3:13:050:0	Áádóó náá'iiłniihii éí éé' naałniih bąąhígíí yidínóoł'įįłgo tsosts'id yiską́ąjį' t'áá sahdii yidádi'doołkał. 
3:13:051:0	Áko tsosts'id yiską́ągo néinééł'į́į'go binanoolzhee'ígíí, doodaii' beistł'ónígíí bąąhgo, doodaii' akágí t'áá ha'át'íhída biniyé akágí bee ályaii éí naałniih bąąh k'ee'ąą deeshzhiizhgo éí łóód ats'íís yiyáanii naałdzidii át'é; jó, éí t'óó baa'ih. 
3:13:052:0	Éí bąą éí é'ígíí iididoołk'ą́ą́ł; binanoolzhee'ígíí, doodaii' beistł'ónígíí bąąhgo, doodaii' aghaa' bee ályaii, doodaii' na'at'ą́hí łigaii dits'idgo bee ályaii, doodaii' t'áá ha'át'íhída akágí bee ályaii éí iididoolk'ą́ą́ł, háálá łóód ats'íís yiyáanii naałdzidii át'é. 
3:13:053:0	Nidi náá'iiłniihii éí néinééł'į́į'go t'áadoo naałniih bąąh k'ee'ąą deeshzhiizhgóogo éí binanoolzhee'ígíí, doodaii' beistł'ónígíí bąąhgo é'ígíí, doodaii' t'áá ha'át'íhída akágí bee ályaii bąąhgo, 
3:13:054:0	ákohgo náá'iiłniihii éí, Łóód bąąhígíí daohgis, hodidooniił, áádóó tsosts'id yiską́ąjį' yidánáádi'doołka ł. 
3:13:055:0	Áádóó náá'iiłniihii éí łóód bąąhígíí tánásgizdóó bik'ijį' néidínóoł'įįł, áádóó shoo, łódígíí t'áadoo łahgo anádzaagóogo, azhą́ doo k'ee'ąą deeshzhiizh da nidi; éí t'óó baa'ih; éí adidííłk'ą́ą́ł; jó, éí biyi'di, doodaii' bikáá'dę́ę́' łóód ats'íís yiyáanii naałdzidii bąąh hazlį́į'ii át'é. 
3:13:056:0	Ákondi náá'iiłniihii éí nááyinééł'į́į'go naałniih bąąh tánásgizdóó bik'ijį' doo wózhǫ́ bąąhgóogo éí éé' binanoolzhee'ígíí, doodaii' beistł'ónígíí, doodaii' akágí bąąhdóó nahjį' kwíidoolííł. 
3:13:057:0	Nidi éé' binanoolzhee'ígíí, doodaii' beistł'ónígíí, doodaii' akágí bee ályaii t'ah t'áá bąąhgo éí naałniih k'ee'ąą deeshzhiizhígíí át'é, áko éí naałniih bąąhgo t'óó adidííłk'ą́ą́ł. 
3:13:058:0	Áko éé' binanoolzhee'ígíí, doodaii' beistł'ónígíí, doodaii' akágí bee ályaii bąąhgo éí sínígisgo naałniihígíí bąąh k'éé'níídee'go náádíígis, áko bi'didéeh doo. 
3:13:059:0	Díí éí naałniih łóód ats'íís yiyáanii naałdzidii bee haz'áanii át'é; éé' éí aghaa', doodaii' na'at'ą́hí łigaii dits'idgo bee ályaii binanoolzhee', doodaii' beistł'ónígíí bąąh hazlį́į'go, doodaii' akágí bee ályaii bąąh hazlį́į'go éí bi'didééh, doodaii' doo bi'didéeh da, hodidoo'niił.
