7:18:001:1	Máíkah áádóó Dan dine'é
7:18:011:0	Zórah áádóó Éshteiyal kin naazhjaa'dóó Dan dine'é hastą́ądi neeznádiingo naagé bee nida'abaahii yee hasht'e'ádadiilyaaígíí ch'íníná .
7:18:012:0	Ákǫ́ǫ́ nínáago Júdah kéyah biyi' Kírjath-jíyarim kin haal'áadi ákwii dah yinééł nít'éé' . Díí jį́į́góó éí haz'ą́ągi Méíhaneh-dan yee dahóózhi' , éí Kírjath-jíyarim e'e'aahjígo áhoolyé , jó'akon .
7:18:013:0	Áádę́ę́' ch'ínínáago Dził Íífreiyimgi Máíkah bighandi yíkai .
7:18:014:0	Áko ashdlalt'éego Léíyish kin haal'áágóó naalchi'í daazlį́'ígíí bik'isóó ádeidííniid , Nihiłísh béédahózin ? Díí daakin biyi' góne' íífad wolyéii áádóó térafim wolyéii índa ła' bik'i na'ashk'aazhgo , ła' éí nídoolyį́į'go eda'alyaii dahólǫ́ . Éí bąą k'ad ádadoohłíiłgi hazhó'ó baa nitsídaahkees .
7:18:015:0	Áko Máíkah bighanjigo dah diikaigo Líívai dinééh bighandi yaa yíkaigo , Yá'át'ééh , deidííniid .
7:18:016:0	Áko Dan dine'é hastą́ądi neeznádiingo naagé bee nida'abaahii yee hasht'e'ádadiilyaaígíí dáń'dítį́įhgi naazį́ .
7:18:017:0	Áko ashdlalt'éego kéyahgóó naalchi'í daazlį́'ígíí yah eekaigo bik'i na'ashk'aazhgo e'elyaii áádóó íífad wolyéii índa nídoolyį́į'go eda'alyaii nídeidiinil . Áko náá'iiłniihii éí tł'óo'di dáń'dítį́įhgi diné hastą́ądi neeznádiingo naagé bee nida'abaahii yee hasht'e'ádadiilyaaígíí yił naazį́ .
7:18:018:0	Áko díí Máíkah bighan góne' yah aakaigo bik'i na'ashk'aazhgo e'elyaii áádóó íífad wolyéii áádóó térafim wolyéii índa nídoolyį́į'go eda'alyaii nídazhdiinilgo náá'iiłniihii áháłní , Ha'át'íishą' baa naahkai ?
7:18:019:0	Áko ádahodííniid , Ge' , nizéé' dádíínílnii'go nihił yíkah , áko azhé'é áádóó náá'iiłniihii nihá nílį́į doo . Da' diné t'ááłá'í bighandóó danilíinii bá náá'iiłniihii nílį́įgo daats'í aláahgo ná yá'át'ééh , doodaii' Ízrel dine'é áádóó bighandóó danilíinii bá náá'iiłniihii nílį́įgo daats'í aláahgo ná yá'át'ééh ?
7:18:020:0	Áko náá'iiłniihii bił hóózhǫǫdgo íífad wolyéii áádóó térafim wolyéii índa bik'i na'ashk'aazhgo e'elyaii néidiinilgo diné bitahgóó ííyá .
7:18:021:0	Ákohgo bada'áłchíní áádóó dabilį́į́' índa dabiyéél bilą́ąjį' yééda'asnii'go dah nídiikai .
7:18:022:0	Áko Máíkah bighandóó nízaadgóó ajookaigo Máíkah bikin bíighahgóó t'áá áyídígi dabighanígíí áł ah silį́į'go Dan dine'é hóníjéé' .
7:18:023:0	Áko Dan dine'é yich'į' dadilwosh . Nít'éé' Máíkah bich'į'go nídadzizyizgo ádabijiní , Haa lá yinidzaago diné t'óó ahayóí nikéé' nooyééł ?
7:18:024:0	Áko ájíní , Shidiyin danilį́įgo íishłaaígíí índa náá'iiłniihii shits'ą́ą́' bił yóó'oohkááh lá , áko ha'át'íishą' t'éí yisdzíí' ? Ákohgo ha'át'éegoshą' ádashidohní , Haa lá yinidzaa ?
7:18:025:0	Áko Dan dine'é ádahodííniid , T'áadoo nihitahgóó niinéé' diits'a'í , áko doo ła'da bá dahodoochįįłgo nik'iidoojah da , áádóó ne'iina' índa na'áłchíní doo bił ádíídįįł da .
7:18:026:0	Ákohgo Dan dine'é dah dadiikaigo haláahgo ádabóodziilígíí Máíkah hoł bééhoozingo t'ą́ą́' dah nízdiidzáago haghangóó anídzoodzá .
7:18:027:0	Áko Dan dine'é éí Máíkah ádayiilaaígíí hanáá'iiłniihii yił nídeidiinilgo Léíyish kin haal'áajį' yíkaigo diné ádahodéeszée'go áádóó hasih dahodiil'aah nít'éé' yę́ę diltłish yee nideistseed , áko kin haal'áii ádeideesk'ą́ą́' .
7:18:028:0	T'áadoo háká aalwodí da , háálá Sáídan éí doo deeghání da índa doo ła' bił ahaa nida'jiilniihí da . Beth-rííhob nahós'a' góyaa nidi ákódahóót'įįd . Ákondi kin haal'áago áńdayiidlaa áádóó ákwii kéédahat'į́ .
7:18:029:0	Dan éí Ízrel ba'áłchíní bitahgi ho'dizhchį́įgo dabizhé'é yę́ę jílį́į́ nít'éé' kin haal'áago ádayiilaaígíí házhi' yee dahóózhi' . Nidi áłtséédą́ą́' kin haal'áii éí Léíyish hoolyéé nít'éé' .
7:18:030:0	Áko Dan dine'é éí e'elyaii t'áá bí ádá dah dayiyiisį' . Manáseh biye' Gérsham nilíinii éí haye' Jánathan áádóó biye'ké éí kéyah nahós'a'gi yisnááh dadzizlį́į'jį' Dan dine'é bá nááda'iiłniihii dajílį́į́ nít'éé' .
7:18:031:0	Ákohgo Máíkah bi'e'elyaii áyiilaaígíí Dan kin haal'áagi dah sizį́įgo ádayiilaa ; Diyin God biníbaal bii' hodílzinii Sháíloh haz'ą́ągi si'ą́ yę́ędą́ą́' ákódayósin nít'éé' .
