1:24:001:1	A Wife for Isaac
1:24:032:0	So the man went home with Laban , and Laban unloaded the camels , gave him straw for their bedding , fed them , and provided water for the man and the camel drivers to wash their feet .
1:24:033:0	Then food was served . But Abraham 's servant said , “ I do n't want to eat until I have told you why I have come. ” “ All right , ” Laban said , “ tell us . ”
1:24:034:0	“ I am Abraham 's servant , ” he explained .
1:24:035:0	“ And the Lord has greatly blessed my master ; he has become a wealthy man . The Lord has given him flocks of sheep and goats , herds of cattle , a fortune in silver and gold , and many male and female servants and camels and donkeys .
1:24:036:0	“ When Sarah , my master 's wife , was very old , she gave birth to my master 's son , and my master has given him everything he owns .
1:24:037:0	And my master made me take an oath . He said , ‘ Do not allow my son to marry one of these local Canaanite women .
1:24:038:0	Go instead to my father 's house , to my relatives , and find a wife there for my son . '
1:24:039:0	“ But I said to my master , ‘ What if I ca n't find a young woman who is willing to go back with me ? '
1:24:040:0	He responded , ‘ The Lord , in whose presence I have lived , will send his angel with you and will make your mission successful . Yes , you must find a wife for my son from among my relatives , from my father 's family .
1:24:041:0	Then you will have fulfilled your obligation . But if you go to my relatives and they refuse to let her go with you , you will be free from my oath . '
1:24:042:0	“ So today when I came to the spring , I prayed this prayer : ‘ O Lord , God of my master , Abraham , please give me success on this mission .
1:24:043:0	See , I am standing here beside this spring . This is my request . When a young woman comes to draw water , I will say to her , “ Please give me a little drink of water from your jug . ”
1:24:044:0	If she says , “ Yes , have a drink , and I will draw water for your camels , too , ” let her be the one you have selected to be the wife of my master 's son . '
1:24:045:0	“ Before I had finished praying in my heart , I saw Rebekah coming out with her water jug on her shoulder . She went down to the spring and drew water . So I said to her , ‘ Please give me a drink . '
1:24:046:0	She quickly lowered her jug from her shoulder and said , ‘ Yes , have a drink , and I will water your camels , too ! ' So I drank , and then she watered the camels .
1:24:047:0	“ Then I asked , ‘ Whose daughter are you ? ' She replied , ‘ I am the daughter of Bethuel , and my grandparents are Nahor and Milcah . ' So I put the ring on her nose , and the bracelets on her wrists .
1:24:048:0	“ Then I bowed low and worshiped the Lord . I praised the Lord , the God of my master , Abraham , because he had led me straight to my master 's niece to be his son 's wife .
1:24:049:0	So tell me — will you or wo n't you show unfailing love and faithfulness to my master ? Please tell me yes or no , and then I 'll know what to do next . ”
1:24:050:0	Then Laban and Bethuel replied , “ The Lord has obviously brought you here , so there is nothing we can say .
1:24:051:0	Here is Rebekah ; take her and go . Yes , let her be the wife of your master 's son , as the Lord has directed . ”
1:24:052:0	When Abraham 's servant heard their answer , he bowed down to the ground and worshiped the Lord .
1:24:053:0	Then he brought out silver and gold jewelry and clothing and presented them to Rebekah . He also gave expensive presents to her brother and mother .
1:24:054:0	Then they ate their meal , and the servant and the men with him stayed there overnight.But early the next morning , Abraham 's servant said , “ Send me back to my master . ”
1:24:055:0	“ But we want Rebekah to stay with us at least ten days , ” her brother and mother said . “ Then she can go . ”
1:24:056:0	But he said , “ Do n't delay me . The Lord has made my mission successful ; now send me back so I can return to my master . ”
1:24:057:0	“ Well , ” they said , “ we 'll call Rebekah and ask her what she thinks . ”
1:24:058:0	So they called Rebekah . “ Are you willing to go with this man ? ” they asked her.And she replied , “ Yes , I will go . ”
1:24:059:0	So they said good-bye to Rebekah and sent her away with Abraham 's servant and his men . The woman who had been Rebekah 's childhood nurse went along with her .
1:24:060:0	They gave her this blessing as she parted : “ Our sister , may you becomethe mother of many millions ! May your descendants be strongand conquer the cities of their enemies . ”
1:24:061:0	Then Rebekah and her servant girls mounted the camels and followed the man . So Abraham 's servant took Rebekah and went on his way .
1:24:062:0	Meanwhile , Isaac , whose home was in the Negev , had returned from Beer-lahai-roi .
1:24:063:0	One evening as he was walking and meditating in the fields , he looked up and saw the camels coming .
1:24:064:0	When Rebekah looked up and saw Isaac , she quickly dismounted from her camel .
1:24:065:0	“ Who is that man walking through the fields to meet us ? ” she asked the servant.And he replied , “ It is my master. ” So Rebekah covered her face with her veil .
1:24:066:0	Then the servant told Isaac everything he had done .
1:24:067:0	And Isaac brought Rebekah into his mother Sarah 's tent , and she became his wife . He loved her deeply , and she was a special comfort to him after the death of his mother .
