44:14:001:1	Aikóniyamgi Paul áádóó Bárnabas naa'aash
44:14:013:0	Áko Júpiter bikin bii' sohodizin éí kin haal'á bidáahgi si'ą́ągo Júpiter yá náá'iiłniihii béégashii índa ch'il daashbizhgo kin biná'ástł'in bich'é'étiinjį' niyiizhjaa', áádóó diné áłah nilínígíí biłgo yil'aadii bich'į' náádadi'yeeshnih niizį́į́'. 
44:14:014:0	Nidi Bárnabas índa Paul, yil'aadii nilíinii, éí yiyíínii'go, ák'i na'ooldláadgo áádóó áłah ílínígíí bitahjį' ch'íhi'neelchą́ą'go dilwoshgo 
44:14:015:0	ání, Shoo hastóí, díishą' ha'át'íí biniyé ádaaht'į́? T'áá nihígi át'éego, nihí ałdó' diné niidlį́įgo át'é, áko hane' yá'át'éehii nihaa niit'ą́, áko t'óó ádaat'éii bits'áhidoohkahgo Diyin God hináanii yádiłhił áádóó nahasdzáán áádóó tónteel, índa t'áá ałtsoní biyi'di dahólóonii áyiilaii bich'į' dah dahididoohkah. 
44:14:016:0	Éí aníchį́į́dę́ę́' ał'ąą dine'é t'áá ałtso t'áá bí danízinígi ádaat'į́į doogo ya'di'ní'ą́, 
44:14:017:0	ákondi bee bééhózin dooleełii doo nihich'į' áyiilaa daígíí éí dooda, háálá yá'át'éehgi ádzaa áádóó wót'ááhdę́ę́' níłtsą́ índa anit'ą́ baa náhwiilzhíishgo nihaidiní'ą́, áko ch'iyáán índa bee ił hózhóonii bee hwiih danohłį́įgo ánihósin. 
44:14:018:0	Kót'éego hadziisdzí'ígíí bee t'áadoo hach'į' nááda'iisnii' da, t'óó k'asdą́ą́' ákódaadzaa. 
44:14:019:0	Nidi Ántiyak índa Aikóniyamdę́ę́' Jew dine'é ła' neheeskai, áko Lístragi diné yíl'áhígíí yíni' yá ádahoolaago Paul yił nidadzisne', áko dadziztsą́ daniizį́į'go, kin haal'áádóó ch'ídahashóód. 
44:14:003:1	Síriya kéyahdi Ántiyak kin haal'áagi níjít'áázh
44:14:020:0	Nidi ídahooł'aahii haa áłah silį́į́', nít'éé' nízhdii'na', áko kin haal'áajį' náádzídzá, áádóó biiskání Bárnabas bił Dérbiigóó jiní'áázh. 
44:14:021:0	Éí kin haal'áagi hane' yá'át'éehii baa nahodzisne' áádóó lą'í nazneeztą́ą'go ídahooł'aahii ánáádajiidlaago, Lístrajį' áádóó Aikóniyamjį' índa Ántiyakjį' níjít'áázh. 
44:14:022:0	Ákwe'é ídahooł'aahii, Yéego da'iinohdlą́ągo dahinohná, bijiníigo biyahoozhniiłįįhgo bi'oodlą' yee dabidziilgo dah yikahgo ájiilaa, áádóó, Ach'į' nidahwiiłnáanii lą'í bibahididiikahgo Diyin God bee bóhólníihgo bił haz'áanii biih hidiikah, jiníigo bich'į' hadzoodzíí'. 
44:14:023:0	Áádóó da'oodlání t'áá áłah nídaadleehígi yá aląąjį' naazį́į dooleełii bá nídziizláá'dóó bik'ijį' dahozdísingo t'áadoo da'jiyání sodazdilzingo, éí Bóhólníihii dajoosdląądgo baa dadzoozlí'ígíí t'áá éí baa hozhdiní'ą́. 
44:14:024:0	Áko Pisídiya kéyah góne' ch'ízhní'áazhgo, Pamfíliya kéyahdi jiní'áázh. 
44:14:025:0	Áádóó Pérga kin haal'áagi Diyin God bizaad bee yájííłti'go Ataláíya góyaa jiní'áázh, 
44:14:026:0	áko áádóó Ántiyakgóó hoł dah ní'dii'éél, áadi naanish ła'jidoolííł biniyé Diyin God bibee ajooba' baa ho'dee'nilii bohoolyaa. 
44:14:027:0	Áadi níjít'áazhgo da'oodlání áłah ájiilaa, áko Diyin God hanahjį' yaa naayáhígíí t'áá ałtso índa doo Jew dine'é danilíinii da'iidoodląąłígíí bá honít'i'go áyiilaago baa nahodzisne'. 
44:14:028:0	Áko t'áá ákwii ídahooł'aahii yił nidaháaztą́ągo nízaad nihoolzhiizh.
