3:27:001:1	Diyingo nidahidit'aahii bibee nahaz'áanii
3:27:013:0	Nidi diné éí, Díí t'áá ha'át'éegoda náhideesh'nih, nízingo éí ashdla' aháádzooígíí t'ááłá'í yínéidoozohgo naaldlooshii bą́ą́h aníłį́ bik'ehgo yił ninéidoodlééł. 
3:27:014:0	Diné ła' bikin Bóhólníihii yá t'áá sahdii dílzingo niidee'aahgo éí yá'át'éehgo, doodaii' doo yá'át'ééhgóó, éí náá'iiłniihii yee hadoodzihgo yą́ą́h íłínígíí bik'é nizh'doolééł. 
3:27:015:0	Nidi bikin t'áá sahdii dílzingo niidiní'ánígíí éí, Náhideeshnih, nízingo éí ashdla' aháádzooígíí t'ááłá'í yínéidoozohgo kin bą́ą́h aníłį́ bik'ehgo yił ninéidoodlééł, áko t'áá bíí' nídoodleeł. 
3:27:016:0	Áko diné ła' bikéyahgi dá'ák'eh łahjį' Bóhólníihii yá ats'éidee'aahgo ákwii álástsii' haa néelt'e'go anéíjihígíí bik'ehgo bą́ą́h aníłį́į doo; tsits'aa' hómer wolyéii bii' tł'oh naadą́ą́' bidee'í bináá' hadeezbingo éí béésh łigaii shékel wolyéii ashdladiin bą́ą́h aníłį́į doo. 
3:27:017:0	Áádóó baa hózhǫ́ǫgo yihah nááhaidóó bidá'ák'eh dílzingo niidee'aahgo bą́ą́h aníłínígíí t'áá éí bik'ehgo bą́ą́h ílį́į doo. 
3:27:018:0	Nidi baa hózhǫ́ǫgo yihah wolyéhígíí ałtso yíhaidóó bik'ijį' díkwíida nááhaigo bidá'ák'eh éí Bóhólníihii yá dílzingo niidiní'áanii baa hózhǫ́ǫgo yihah baa náhodoolzhishjį' nídoohah yidziihígíí yíídóołtah; éí bik'ehgo bidá'ák'eh bą́ą́h aníłį́įgi náá'iiłniihii bíniik'ehgo bą́ą́h ílínígíí há yéididoo'nił. 
3:27:019:0	Áko hadá'ák'eh dílzingo nidizhní'áanii éí, Náhideeshnih, jinízingo éí ashdla' aháádzooígíí t'ááłá'í bínéizdoozohgo dá'ák'eh bą́ą́h aníłį́ bik'ehgo yił ninéidoodlééł, índa t'áá bíí' nídoodleeł. 
3:27:020:0	Dá'ák'eh doo náhideesh'nih da, nízingo, doodaii' t'áá íídą́ą́' diné náánáła' yich'į' nayiis'nii'go éí doo nááhidoonihgóó nideet'ą́ą doo. 
3:27:021:0	Nidi dá'ák'ehígíí éí baa hózhǫ́ǫgo yihah wolyéii baa hoolzhiizhgo Bóhólníihii bich'į'go dílzin doo, áko dílzingo nideet'ánígi át'éego náá'iiłniihii bíí' dooleeł. 
3:27:022:0	Áádóó diné ła' éí Bóhólníihii bá kéyah nayiis'nii'go dílzingo niidiní'ą́ą́ ládą́ą́' éí doo t'áá bí bikéyahígíí ła' ííł'į́į́góó, 
3:27:023:0	áko náá'iiłniihii éí bą́ą́h aníłínígíí bik'ehgo baa hózhǫ́ǫgo yihah wolyéii baa hodoolzhishígíí há yídóołtahgo bą́ą́h aníłínígíí bik'ehgo éí bijį́ bik'é nizh'doolééł; éí Bóhólníihii bich'į' dílzingo naalyáii át'ée doo. 
3:27:024:0	Áko baa hózhǫ́ǫgo yihah wolyéii binih diné éí dá'ák'eh baa nahaaznii'ígíí baa nídidoot'ááł; t'áá hó hakéyah yę́ę hóó' násdlį́į' doo. 
3:27:025:0	Áádóó bą́ą́h da'níłínígíí t'áá ałtso éí hodiyingo haz'ą́ą́ góne' shékel wolyéii choo'ínígíí bik'ehgo bą́ą́h aníłį́į doo. Éí shékel naadiin gíírah wolyéii bíighahgo dah hidiidloh. 
3:27:026:0	Nidi alį́į́' átsé nidahachíhígíí, éí Bóhólníihii bí neheleehígíí éí diné ła' doo dílzingo niididoo'áał da; béégashii, doodaii' dibéda, díí Bóhólníihii bíí'. 
3:27:027:0	Nidi alį́į́' doo daadáanii át'éego éí bą́ą́h aníłínígíí bik'ehgo ninéidiyoołnih; éí ashdla' aháádzooígíí t'ááłá'í yínéidoozohgo yił ninéidoodlééł, doodaii' doo nináyiis'nii'góogo éí bą́ą́h aníłínígíí bik'ehgo nahidoonih. 
3:27:028:0	Ákondi diné jílíinii hwee hólóonii t'áá ałtso bits'ą́ą́dóóígíí éí diné, doodaii' alį́į́', doodaii' t'áá hó hakéyah ts'ídá dílzingo Bóhólníihii baa nídizhdiní'áanii éí doo haa nahidoonih da, doodaii' doo nínááhizhdoołnih da; t'áá ałtso ts'ídá dílzingo nideet'áanii éí Bóhólníihii bich'į'go aláahgo dadílzin. 
3:27:029:0	Ts'ídá dílzingo nideet'áanii, éí diné ts'ídá dílzingo niidiní'ánígíí éí doo nááhidoonih da, nidi t'áádóo nídí ádooldįįł. 
3:27:030:0	Kéyah bits'ą́ą́dóó nídahoodleełii neeznáá daníjaa'ígíí éí t'ááłá'ígo shijaa' Bóhólníihii baa náhidit'aahígíí t'áá át'é, éí kéyah bits'ą́ą́dóó nídaneest'áanii, doodaii' tsin bineest'ą' ádaat'éii, éí Bóhólníihii bíí' át'é, áko Bóhólníihii bich'į'go dadílzin. 
3:27:031:0	Diné ła' éí t'áá ha'át'íhída neeznáá daníjaa'ígíí éí t'ááłá'ígo shijaa' Bóhólníihii yaa néidii'aahígíí éí, Nááhideesh'nih, nízingo éí ashdla' aháádzooígíí t'ááłá'í yínéidoozohgo Bóhólníihii yaa néidii'aahii bą́ą́h ílínígíí ninéidoodlééł. 
3:27:032:0	Áádóó béégashii, doodaii' dibéda éí gish bee dayéélta'ii t'áá ałtso éí neeznáá daníjaa'go t'ááłá'í nízínígíí éí Bóhólníihii bich'į'go dadílzin doo. 
3:27:033:0	Ła' la' yá'ádaat'ééh lá, doodaii' ła' la' doo yá'ádaat'éeh da lá, doo dínóozįįł da, doodaii' doo ła' bił ałgháázhdooltéeł da; ła' bił ałgháá'jíltį́įgo éí bił ałgháá'jíltínígíí t'áá bił t'áá áłah dílzin doo; éí doo nááhizhdoołnih da.  
3:27:034:0	Díí bik'eh ó' oo'níiłii ádaat'éego Bóhólníihii éí Mózes yich'į' yee haadzíi'go Ízrel dine'é bá Dził Sáínaidi kóhodoo'niid.
