6:13:001:1	Kéyah hóó' dadooleełígíí
6:13:010:0	áádóó Ámor dine'é aláahgo binanit'a'í Sáíhan éí Héshbangi aláahgo naat'áanii bikin hadaas'áii t'áá át'é yinant'áá nít'éé' yę́ę, Áman dine'é bihoodzo bíighahjį' hóó' daazlį́į́', 
6:13:011:0	áádóó Gíliyad kéyah áádóó Gíísher dine'é áádóó Méíyakah dine'é bikéyah áádóó Dził Hérman t'áá át'é, áádóó Béíshan kéyahgóó t'áá át'é Sálkah kin haal'áajį' hóó' daazlį́į́'. 
6:13:012:0	Béíshan kéyahgi Ag aláahgo bee bóhólníhígíí t'áá át'é éí Áshtarath kin haal'áagi áádóó Édriyai kin haal'áagi aláahgo naat'áanii nilį́į́ nít'éé' yę́ę, t'áá bí t'éiyá yé'iitsoh daadzí'ígíí nilį́į́ nít'éé'; díí Mózes hak' eh deesdlį́į'go ch'íhoniiskaad. 
6:13:013:0	Nidi Ízrel dine'é éí Gíísher dine'é índa Méíyakah dine'é t'áadoo baa ch'ídahaazhjée' da, nidi dííshjį́įjį' Gíísher dine'é índa Méíyakah dine'é éí Ízrel dine'é yitahgóó kéédahat'į́. 
6:13:014:0	Líívai dine'é bíí' dooleełii Mózes t'áadoo beidiní'ą́ą da, Bóhólníihii Ízrel dine'é biBóhólníihii Diyin God bich'į' didlidgo náádahaniihii t'éí bíí' dadooleeł át'é; t'áá ákót'éego yee áyidííniid ni'.  
6:13:015:0	Áko Rúben dine'é da'ahílchíihii ahii' háá'ahiyoolchíłígíí bik'ehgo kéyah íí' dooígíí Mózes beidiní'ą́. 
6:13:016:0	Áádóó éí bikéyah Árnan tooh bibąąhgóó Aró'er kin haal'áádóó áádóó yíldzis ałníi'gi kin haal'áádóó índa Médiiba dzígaigóó t'áá át'é, 
6:13:017:0	Héshban kin haal'áii áádóó dzígaigi kin hadaas'áhígíí t'áá bił, éí Dáíban áádóó Béímath-béíyal áádóó Beth-béíyal-míyan dahoolyéhígíí, 
6:13:018:0	áádóó Jahéíza áádóó Kíídemath áádóó Méfeiyath 
6:13:019:0	áádóó Kíriyathéíyim áádóó Síbmah índa yíldzisgi yanáalk'idígíí bighą́ą'gi Záreth-shéíhar kin hadaas'áii 
6:13:020:0	áádóó Beth-píyor áádóó Áshdath-pízgah índa Beth-jéshimath dahoolyéhígíí 
6:13:021:0	áádóó t'áá át'é dadzígaidi kin hadaas'áii áádóó Ámor dine'é aláahgo binanit'a'í Sáíhan éí Héshban kin haal'áagi aláahgo naat'áanii bee bóhólnííh nít'éé' yę́ę t'áá át'é, éí Mídiyan dine'é binanit'a'í danilíinii éí Íívai áádóó Rííkem áádóó Zer áádóó Her índa Rííba daolyéii, Sáíhan yá naat'áanii danilį́į́ nít'éé'; éí Mózes hak'eh deesdlį́į́'. 
6:13:022:0	Bíyor biye' Béílam ałdó' éí náásgóó áhodoonííł yaa halne'ii áhodil'íinii ałdó' t'áá yił diltłish bee ayóó át'éego Ízrel dine'é ádahasdįįd. 
6:13:023:0	Áádóó Rúben dine'é bikéyah éí Jórdan tooh bihoodzo nít'éé'. Díí kéyah Rúben dine'é ahii' háá'ahiyoolchííłgóó ákwii kin hadaas'áii áádóó kin dah naazhjaa'ígíí t'áá bił bíí' át'é. 
6:13:024:0	Áádóó Géed dine'é ałdó' kéyah íí' dadooleełii Mózes beidiní'ą́; éí Géed dine'é ahii' háá'ahiyoolchíiłii bik'ehgo baa deet'ą́. 
6:13:025:0	Dabikéyahígíí éí Jéízer kin haal'áádóó áádóó Gíliyad kéyahdóó kin hadaas'áii t'áá ałtso áádóó Áman dine'é bikéyah ałníí'dóó Rábah kin haal'áii ha'a'aahjígo Aró'er kin haal'áajį' baa deet'ą́. 
6:13:026:0	Áádóó Héshban kin haal'áádóó Réímath-mízpah kin haal'áajį' áádóó Bétonim kin haal'áajį' índa Meihanéíyim kin haal'áádóó Dííbir kin haal'áii bikéyahjį', 
6:13:027:0	áádóó yíldzisgóó Beth-éíram kin shijaa'ígíí, Beth-nímrah kin haal'áii, Sákath kin shijaa'ígíí áádóó Zéífan kéyahígíí áádóó Héshban kin haal'áii aláahgo binanit'a'í Sáíhan wolyéii bee bóhólnííh nít'éé' yę́ę łahjį' yidziihígíí, éí Jórdan tooh bee hoodzooígíí, Kíniireth tó siyíníjį' nihoodzo áádóó ha'a'aahjigo t'áá át'é baa hodeet'ą́. 
6:13:028:0	Díí kéyahígíí Géed dine'é ahii' háá'ahiyoolchííłgóó bik'ehgo ákwii kin hadaas'áii índa kin naazhjaa'ígíí t'áá bił bíí' át'é. 
6:13:029:0	Áádóó Manáseh dine'é ałníí'dóóígíí éí kéyah íí' dadooleełii Mózes beidiní'ą́; éí Manáseh dine'é ałníí'dóóígíí ahii' háá'ahiyoolchíłígíí bik'ehgo bá ałts'áádzo. 
6:13:030:0	Éí bikéyahígíí Meihanéíyim kin shijaa'dóó, Béíshan kéyahgóó t'áá át'é, Béíshan dine'é aláahgo binanit'a'í Ag wolyéii bee bóhólnííh nít'éé' yę́ę t'áá át'é, áádóó Jéíyer wolyéii bikin naazhjaa'ígíí t'áá ałtso, éí Béíshan kéyahgi hastą́diingo kin hadaas'áii, 
6:13:031:0	áádóó Gíliyad kéyah ałníí'dóóígíí índa Béíshan dine'é aláahgo binanit'a'í Ag wolyéii bee bóhólnííh nít'éé' yę́ę biyi' Áshtarath áádóó Édriyai kin hadaas'áii, díí éí Manáseh biye' Méíkir bidine'é ałníí'dóóígíí ahii' háá'ahiyoolchíłígíí bik'ehgo bá ałts' ádaasdzo. 
6:13:032:0	Díí kéyah íí' dooleeł biniyé Jórdan tooh wónaanídi Jériko ha'a'aahjigo Mó'ab dzígaigóó Mózes hataideez'ą́. 
6:13:033:0	Nidi Líívai dine'é bíí' dooleełii Mózes t'áadoo beidiní'ą́ą da; Ízrel dine'é biBóhólníihii Diyin God éí bíí' dooleełii bá jílį́, t'áá ákót'éego yee áyidííniid ni'. 
