18:31:001:1	Job , T'áá ákogi ánísht'é , níigo yáłti'
18:31:016:0	Baa dahojoobá'íii t'áadoo le'é deinízinii bich'į' baa nááchį'go , doodaii' asdzání bąąh áhásdįįdii yídin nilíinii t'áadoo bee bíká aashwodgóogo ;
18:31:017:0	éí doodaii' t'áá sáhí shich'iyą' yíyą́ą'goáłchíní bizhé'é ádinii t'áadoo ła' ba'níłtsoodgóogo ;
18:31:018:0	( jó , t'áá tsíłkéí nishłį́į́dę́ę́' bizhé'é nishłį́ nahalingo bił níyá , áádóó t'áá bimá bishchínídóó kǫ́ǫ́ dahonít'i' , bidishníigo nísą́ ; )
18:31:019:0	ła'da shinááł éé' yídin nilį́įgo daaztsą́ągo , doodaii' bahojoobá'íii bi'éé' ádingo yiiłtsą́ągo ,
18:31:020:0	áádóó bahojoobá'íii t'áadoo éé' baa nínilgóó doo shich'į' ahééh niizį́į́'góogoínda shidibé bighaa' bee éé' ádaalyaaígíí t'áadoo yee ná'iidziilgóogo ,
18:31:021:0	áádóó dáń'dítį́įhgi ándahwii'aahii shik'is dajílį́įgo bąąáłchíní bizhé'é ádaadinii bide ádahwíínísin ládą́ą́' ;
18:31:022:0	háni'dii shigąąstsiin shiwos bąąh ni'diikęęs ; háni'dii shigaan shich'oozlaa'gi k'édlaad .
18:31:023:0	Jó , Diyin God atí'éł'į́įgo t'áá íiyisí bik'ee shił yéé' nít'éé' , áádóó ayóó át'éii nilį́įgo biniinaa t'áadoo bínéésh'ąąd da .
18:31:024:0	Óola bee shił chohoo'į́įgo , doodaii' óola yá'át'éehgo nídoolyį́į'ii , Naa jííníshłí , bidííniidgo ,
18:31:025:0	áádóó t'áá íiyisí bidziilgo dah aashłéłígííínda lą'í nishó'iisíłt'e'ígíí baa shił nihoozhǫǫhgo ,
18:31:026:0	áádóó jį́honaa'éí adiníłdíingoínda ooljéé' nizhónígo hááyáago nééł'į́į'go ;
18:31:027:0	t'áá nahont'inee shijéí yíni' áhoolaagoshíla' séts'ǫsgo ;
18:31:028:0	kót'éego doo ákwii áhóót'įįdígíí ałdó' át'éego ándahwii'aahii yaa nídadóot'įįłgo atídeidoolííł nít'éé' ; kósdzaago éí , Diyin God yót'áahdi hólóonii doo shídéét'i' da , dííniid doo nít'éé' .
18:31:029:0	Da' diné shik'ee diniihii atílyaaígíísh bąą shił nihoozhǫǫhínda doo yá'át'éhígi ábi'diilyaagoósh baa ts'íigo lą́ą niizį́į́' ?
18:31:030:0	Dooda , t'áá aaníí bi'dódziihgo daotsa' doo laanaa nisingo doo bee ádił iisiihgo haasdziih da .
18:31:031:0	Shiníbaal si'ą́ą́dóó t'áá háiida , Hach'iyą' t'ah doo bee hwiih deidleeh da , doo niihí da ?
18:31:032:0	Dé'éyóní doo ła' kintah atiingi biiską́ą da , nidi ch'aadeíkáahii bá shighan ąą íínísin nít'éé' .
18:31:033:0	Doo ákwii áát'įįdii shijéí bii' nídíł'į́į'go , Ádam ádzaa yę́ęgi át'éego bee haz'áanii k'íníti'ígíísh díníł'į́į'go ,
18:31:034:0	ayóó ánéelą́ą́' áłah ílínígíí bik'ee shił yée'godahooghandę́ę́' diné dah deíkáahii dashi'į́įgo tsídasideesyizígíí biniinaat'óó dííníshhéél nít'éé' , áádóó tł'óó'góó nidi t'áadoo ch'íníyáa da ?
18:31:035:0	Dooládó' ła' shíists'ą́ą́' laanaa da ! Jó , kǫ́ǫ́ ádaa hashne'go AláahgoAyóó'ábóodziilii shich'į' ééhoosįįh laanaa nisin , índa shi'ana'í nilíinii naaltsoos bikáa'gi ak'e'ółchíiłgo shaa chíhó'ááł laanaa nisin .
18:31:036:0	Ákódzaago shiwos dah deesh'ááłáádóó naat'á ch'ah hach'ah ájíléhígi át'éego shitsiinídeesht'ih nít'éé' .
18:31:037:0	Níyáádę́ę́' kónéelą́ą'di nidinishtáál , dishníigo bił hodeeshnih nít'éé' ; naat'áanii nahalingo bit'ááh deeshááł nít'éé' .
18:31:038:0	Shikéyah shik'ee hááchago áádóó anák'eeshto' náálį́ nahalingotó neets'ee'go danílínígíí shich'į' saad dahółǫ́ǫgo ,
18:31:039:0	áádóó kéyahdóó neest'áanii béeso t'áadoo bik'é nanishłéhí yíyą́ą'gobiniinaa bikéyah da'ílíinii daneeznáago áshłaago ;
18:31:040:0	háni'dii tł'oh naadą́ą́' hadadínóosééł yę́ęgi ch'il deeníní hadanise' le' , índa tł'oh naadą́ą́' bidee'í hadadínóosééł yę́ęgi tł'oh niłchxoní yilt'ąą'ída nidanise' . Kojį' lą́ą Job saad niiníłt'i' .
