23:44:001:1	Bóhólníihii t'éiyá Diyin God nilį́
23:44:013:0	Kin ííł'íinii bee ída'neel'ąąhí tsin yikáá' niiléehgo bee ak'e'alchíhí yee da'iizoh, áádóó tsin bee adiilkǫǫhí yee hasht'e'niik'ęh, áádóó diné baa dzólníinii nahalingo wóne'é dah sizį́į doo biniyé názbąsgo bee ahéé'iidzóhígíí yee oozohgo diné sizį́ nahalingo ííł'į́. 
23:44:014:0	Gad ádá yiitsxeeł áádóó tsin sikaadii sáípres wolyéii índa chéch'il yíl'áhígi ádá niidiit'aah; nídíshchíí' k'iidiléehgo bik'i nahałtingo dínísééh. 
23:44:015:0	Áádóó índa diné díí ła' yee bikǫ'go yee ná'iidoodził; t'áá aaníí, ła' yee diididoołjahgo bááh íidoolííł; t'áá aaníí, ła' yee bidiyin áyiił'įįhgo yich'į' nahałá; be'elyaii áyiił'įįhgo yich'į' náníljoł. 
23:44:016:0	Tsin łahjį' yidiłidgo yee ná'iidzííł, áádóó atsį' yee yiłbéézh índa yee ałt'eesgo yee hwiih yileeh; t'áá aaníí, ná'iidzíiłgo áádóó ániih, K'ad lą́ą, kǫ' yiiłtsą́ągo ná'iisdziil, 
23:44:017:0	áádóó yidziihígíí éí bidiyin áyiił'įįh; t'áá éí bi'e'elyaii nilį́įgo yich'į' tsé'yaa náníljołgo nahałáago sodilzingo kóníigo, Yisdáshíłteeh, háálá shidiyin nílį́. 
23:44:018:0	Doo bił béédahózin da áádóó doo yik'ida'dootą́ą́' át'ée da, háálá doo dajoo'į́į da doo biniyé hanáá' ałch'į' ádayiilaa, índa doo ak'idazhdi'dootį́įł da biniyé hajéí dáda'deeskaal. 
23:44:019:0	Áádóó doo ła'da bijéí biyi'di yaa ákonízin da, doo nidi bił bééhózin da, doo nidi ak'idiitįįhgo áníi da, Łahjį' kǫ' bee dííłid; t'áá aaníí, ałdó' bitsííd bee bááh síłt'é índa atsį' bee síłt'éego yíyą́ą́'. Da' ákoósh yidziihígíí doo yildingóó ádeeshłííł áádóó tsin íí'áhígíí bich'į' tsé'yaa dínéeshjoł? 
23:44:003:1	Bóhólníihii éí Ízrel dine'é yik'é niná'iidléii nilį́
23:44:020:0	Łeeshch'iih yiyą́; bijéí bi'deesdlo'ígíí łahjigo kóbiilaago bii' sizíinii doo yisdéidoołtéeł da, doo nidi ádidooniił da, Shíla' nish'náájí bee wooch'ííd yíníshtą'. 
23:44:021:0	Jéíkab ni, Ízrel nílíinii, díí béénílniih, háálá shá naal'a'í nílį́; hasht'e'niní'nínii'; shá naal'a'í nílį́. Ízrel nílíinii, doo naa yidiyeeshnah da. 
23:44:022:0	K'os diłhił áádóó áhí yóó'iilzho'ígi át'éego bee haz'áanii híníti'ii índa ádił ni'iyínílzí'ígíí ná k'éé'ííłchǫ'; shich'į' ninánídááh, háálá nik'é niná'níshdlá. 
23:44:023:0	Yá'ąąshdi dahonohłóonii, dahohtaał, háálá Bóhólníihii ádzaa; nahasdzáán bikáá'dóó dahonohłóonii, hadadołgháásh; dził danohłíinii áádóó tsin dayíl'áii índa tsin t'ááłá'í níkaadgo, sin hadadoh'aah, háálá Bóhólníihii éí Jéíkab yik'é niná'ídlá, áko Ízrel binahjį' baa ha'niih. 
23:44:024:0	Bóhólníihii nik'é niná'ídláii áádóó iishch'id biyi'di hasht'eniilaii ání, Shí Bóhólníihii t'áá ałtsoní áyiilaii áádóó yádiłhił t'áá sáhí k'íísts'ǫ́ǫdii índa nahasdzáán niiníłkaadii nishłį́; 
23:44:025:0	dabiyooch'íidii bee ééhózinii ádayoolíiłii nehesht'éehgo nida'ídíłkidii doo bił dahózhǫ́ǫ́góó ádeile'ii índa hastóí dahóyáanii t'ą́ą́' kódeile'go bił éédahózinii doo hódzą́ át'éégóó ádeile'ii nishłį́; 
23:44:026:0	éí bá naal'a'í bizaad t'áá aaníigo áyósinígíí áádóó bá hane' nidei'áii yee yádááłti'ii áyoolíiłii nishłį́; t'áá éí Jerúsalem kin haal'áii ííłní, Diné nii' kéédahat'į́į doo, áádóó Júdah kéyah biyi' kin hadaas'áii ííłní, Áńdanihidi'doolnííł índa kints'iilgo nahaz'ánígóó ałdó' áńdadeeshdliił; 
23:44:027:0	éí tó daditáanii ííłní, Nídííltsih, áádóó nitooh danílíinii nídadeestsih. 
23:44:028:0	Sáíras wolyéii yeinít'į́įgo ání, Shá na'niłkaadii nilį́įgo bídin nishłínígíí íidoolííł; t'áá aaníí, Jerúsalem kwíididooniił, Áńdi'doolnííł, índa kin bii' sohodizin kwíididooniił; nitł'ááh nástł'inii ádoolnííł.
