23:9:001:1	Hózhǫ́ǫ́jí Yinant'áii bi'dizhchíinii áádóó bee bóhólníhígíí
23:9:010:0	Hashtł'ish dááltł'isígíí naa'adahaasdááz, nidi tsé hasht'edaalyaago bee kin ninádadiit'ááł; síkamor tsin naazkaadígíí yaa nidahaasti', nidi deíl'á yę́ęgi gadtsoh anídahidiitsih. 
23:9:011:0	Éí bąągo Bóhólníihii éí aláahgo naat'áanii Ríízin bits'ą́ą́dóó ana'í danilíinii hak'ijį' danilį́įgo áádóó hweda'ana'í hoł háádahoniłchxa'go íidoolííł; 
23:9:012:0	Síriya dine'é alą́ąjį' áádóó Filístiya dine'é éí akéédę́ę́' hookahgo, áko éí bizéé' ąą át'éego Ízrel dine'é adeidoomał. Azhą́ díí t'áá ałtsojį' kóhoolaa nidi, t'ah hach'į' báháchį'go hak'ijį' k'ídées'nii'. 
23:9:013:0	Diné atíjiilaaígíí t'áadoo hach'į' nináhaaskai da, doodaii' t'áá ałtsoní bee Bóhólníihii t'áadoo háádeineeztą́ą' da. 
23:9:014:0	Éí bąągo ła'a jį́įjį' Bóhólníihii éí Ízrel bitsiits'iin áádóó bitsee', índa tsin páam bits'ádaoz'a' áádóó lók'aatsoh nahjį' kwíidoolííł. 
23:9:015:0	Aląąjį' sizíinii ił nilíinii éí atsiits'iin nilį́, áádóó halne'ii biyooch'íidgo na'nitinii éí atsee' nilį́. 
23:9:016:0	Jó, díí diné bá aląąjį' naazíinii yóó'adabii'éésh, áádóó adabi'diisht'eezhígíí ałtso ábi'disdįįd. 
23:9:017:0	Éí bąągo bidinééh danilíinii éí Bóhólníihii doo hąą bił hózhǫ́ǫ da dooleeł, áádóó áłchíní dabizhé'é ádaadinii áádóó asdzání bąąh ádahasdįįdii doo yaa a'áhí dínóozįįł da, háálá t'ááłá'í jinítínígo t'óó ádahozhdil'į́ áádóó doo yá'át'éhígi ádajit'į́ índa t'áá ádzaagóó yádajiłti'. Azhą́ díí t'áá ałtsojį' kóhoolaa nidi, t'ah hach'į' báháchį'go hak'ijį' k'ídées'nii'. 
23:9:018:0	Jó, doo yá'ádaashóonii kǫ' nahalingo dook'ą́ął łeh; ch'il ahoshí áádóó ch'il deeníní iidiyiiłk'ą́ą́h; dahodíłch'ilgóó yidahodinilgo łid hahaghááh. 
23:9:019:0	T'áá ałtsoní bee Bóhólníihii t'óó báhádzidgo báháchįįhgo atí'éł'íinii bee kéyahgi nahodeezk'ą́ą́'; diné éí chizh nahalingo bee hodook'ą́ął doo; diné yił háá'áázh doo yaa hą́ą́h dínóozįįłí da. 
23:9:020:0	Ła'da nish'náájígo t'áadoo le'é yąąh dah neeshjį́įdgo, nidi t'óó dichin bidí'nóołhééł, áádóó nishtł'ajígo yee ííyą́ą' nidi, doo hwiih nilį́į da doo; diné t'ááłá'í jinítínígo t'áá hó hagaan nijílghał doo. 
23:9:021:0	Manáseh éí Íífreiyim yik'ijį' nilį́į doo; Íífreiyim éí Manáseh yik'ijį' nilį́į doo, áádóó t'áá ła' bizhi'ee Júdah dine'é yik'ijį' nídidoot'ash. Azhą́ díí t'áá ałtsojį' kóhoolaa nidi, t'ah hach'į' báháchį'go hak'ijį' k'ídées'nii'.
