25:2:001:1	Bóhólníihii éí Záíyan yínííł nilį́įgo ííł'į́
25:2:011:0	Yishchaígíí bik'ee shináá' ch'ééh deezh'áázh ; shiyi'di t'áá íiyisí bich'į' nahwii'náago yínííł nishłínígíí tó nahalingo ni'jį' náálį́ , háálá shidine'é bich'é'é ábi'disdįįd áádóó kin haal'áagi áłchíní yázhí índa awéé' nidahoneeł'ąąh .
25:2:012:0	Kin haal'áagi nida'aztiingóó diné atídabi'diilyaii nahalingo bimá dah dabíjáahgo nidahoneeł'ąąhgo bimá ádeiłní , Háadiyee' tł'oh naadą́ą́' índa wáin ła' hólǫ́ ?
25:2:013:0	Jerúsalem bich'é'é nílíinii , ha'át'íí lá bił aheníłt'éego naa ch'íhodeesh'ááł ? Záíyan bich'ikę́ę́h nílíinii , ha'át'íí lá bił ahąąh nindeeshniłgo handi'yeeshnih lá ? Tónteel áníłtélígi át'éego nich'į' ayééchǫ'go háísh hadaałt'é ánándoodlííł ?
25:2:014:0	Áhodooníiłii yaa dahalne'ígíí doo t'áá aaníígóó bił ádaadzaii índa t'áá ádzaaí át'éego nił ch'ídahaz'ą́ ; doo ákwii ádaot'įįdii t'áadoo yááda'dééłtsoozgóó ni'disnánígíí bits'ą́ąjį' t'áadoo kódaniilaa da , nidi yee nił dahoolne'ígíí éí doo t'áá aaníígóó bił ádaadzaii át'é .
25:2:015:0	T'áá ałtso ną́ą́h nídadikahígíí t'óó ná nidahałt'i'go nich'į' ahídaakad , áádóó bitsiits'iin deiłne'go Jerúsalem bich'é'é yich'į' ída'diłts'ǫǫs kódaaníigo , Kin haal'áii ayóó ánóolninii hadaałt'éii áádóó , Nahasdzáán t'áá si'ą́ą́ nít'éé' dadine'é yaa bił dahózhóní wolyéii , da' díísh éí át'é ?
25:2:016:0	Ni'ana'í t'áá ałtso nich'į' nidahidilgháashgo biwoo' ahídeidiłk'ashgo nich'į' ída'diłts'ǫǫs kódaaníigo , Ádahosiildįįd ; t'áá aaníí , díí baa hodoolzhishígíí bíká dadíníit'į́į́' nít'éé' ; k'ad baa honíyáago danéel'į́į́' .
25:2:017:0	Bóhólníihii yinahaz'áanii yi'iilaa ; áhodoolíłígíí ałk'idą́ą́' yee haadzíi'ii áyiilaa ; doo nik'édí nilį́į́góó ánísdįįd ; ni'ana'í danilíinii naa bił dahózhǫ́ǫgo áyiilaa índa nits'ą́ą́jí nilíinii bidziil yee ádaa daha'niihgo áyiilaa .
25:2:018:0	Bóhólníihii yich'į' diné bijéí yéego daachago ádaaní , Záíyan bich'é'é ditą́ągo binaa ahéé'ítł'inii nílíinii , bíni'dii ninák'eeshto' tooh nahalingo shá bíighah áádóó tł'éé' bíighah náálį́į le' , doo háánílyį́į́hgóó ánósin le' índa ninák'eeshto' doo áhodiilzéeh da le' .
25:2:019:0	Nídiidáahgo tł'ée'go yéego hááníchah ; hiłiijį́įhgo Bóhólníihii bidáahjį' tó háálį́ nahalingo nijéí biyi'dóó ádił háánídzoł ; kintah hada'iiztiin t'áá ałtsogóó na'áłchíní yázhí dichin yik'ee nidahoneeł'ąąhígíí bá Bóhólníihii bich'į' dah didiilnííh .
25:2:020:0	Shoo , Bóhólníihii nílíinii , díí kwíinilaaígíí baa nitsíníkees . Da' sáanii ba'áłchíní dah deíjáhígíísh nídeidoolghał ? Da' Bóhólníihii bikin bii' hodiyin góne'ésh nááda'iiłniihii índa áhodooníiłii yaa dahalne'ii nidadooltsxił ?
25:2:021:0	Kintah da'nítiingóó ániid nidaakaígíí índa hadaastihii naazhjéé' ; nich'eekę'í índa nitsíłkéí éí diltłish bee nidabi'diztseed ; náhóóchįįd yę́ędą́ą́' yíníghą́ą'go doo bik'édí nílį́į́góó nidasíníłtseed .
25:2:022:0	Hodílzingo áłah ná'ádleehjį' diné bida'asnii'ígi át'éego t'áá ałtsodę́ę́' báádahadzidii shik'ijį' bi'iyíníłnii' , áko Bóhólníihii báhóóchįįd bijíní góne' doo ła' yóó'anííchą́ą' da , doo nidi ła' yidzíi' da ; bił nída'iisdis yę́ę índa danísą́ yę́ę shi'ana'í ałtso ádabisdįįd .
