26:27:001:1	Táir dine'é baa yínííł hasin
26:27:016:0	Síriya dine'é naalyéhé t'óó ahayóí nee hólónígíí bąą nił ahaa nida'iilniih nít'éé'; tsé ílíinii émerald wolyéii áádóó na'at'ą́hí tsídídééh nahalingo łichí'ígíí índa na'at'ą́hí bibąąhgóó nidaashch'ąą'ii áádóó áłts'óózígo yisdizígíí bee na'at'ą́hí łigaii dits'idgo ályaii índa yoo' łichí'í índa tsé ílíinii ágat wolyéii nidayiijáahgo ninaalyéhé yił ałgháá' da'ii'nííł nít'éé'. 
26:27:017:0	Júdah dine'é áádóó Ízrel dine'é bikéyahdę́ę́' nił ahaa nida'iilniih nít'éé'; Mínith kin haal'áádę́ę́' tł'oh naadą́ą́' áádóó łikání halniihii pánag wolyéii áádóó tsés'ná bitł'izh áádóó ak'ah índa tłah łikání dahalchinii éí ninaalyéhé yił ałgháá' da'ii'nííł nít'éé'. 
26:27:018:0	Naalyéhé ts'ídá t'áá ał'ąą ádaat'éego ayóó ánéelą́ą'go dah yíléłígíí bąą, ninaalyéhé ayóó ánéelą́'ígíí Damáskas dine'é nił ahaa na'iilniih nít'éé', Hélban kéyahdę́ę́' wáin áádóó aghaałgaii éí ninaalyéhé yił ałgháá' da'ii'nííł nít'éé'. 
26:27:019:0	Víídan dine'é áádóó Jéívan dine'é ninaalyéhé biniyé nił ałgháá' da'ii'nííł nít'éé'; béésh nitł'izii áádóó káshiya ch'iyáán bił ál'ínígíí índa akaz łikání kálamas wolyéii éí ninaalyéhé biniyé nił ałgháá' da'ii'nííł nít'éé'. 
26:27:020:0	Díídan dine'é éí ak'i dahi'niłí ninaalyéhé biniyé nił ałgháá' da'ii'nííł nít'éé'. 
26:27:021:0	Aréíbiya dine'é áádóó Kíídar dine'é binanit'a'í danilíinii t'áá ałtso nił ahaa nida'iilniihgo ayóó át'éego nił yá'át'ééh nít'éé'; dibé yázhí áádóó deenásts'aa' índa tł'ízí éí ninaalyéhé biniyé nił ałgháá' da'ii'nííł nít'éé'. 
26:27:022:0	Shííba dine'é áádóó Réíyamah dine'é na'iiłniihí danilíinii nił ahaa nida'iilniih nít'éé'; ch'iyáán bił ál'íní spáis wolyéii t'áá ał'ąą ádaat'éii ts'ídá t'áá ałtso índa tsé da'ílíinii ał'ąą ádaat'éii áádóó óola éí ninaalyéhé biniyé nił ałgháá' da'ii'nííł nít'éé'. 
26:27:023:0	Héíran áádóó Kánii áádóó Ííden áádóó Ásher índa Kílmad dahoolyéédę́ę́' dine'é éí ninaalyéhé biniyé nił ahaa nida'iilniih nít'éé'. 
26:27:024:0	Díí kódahoolyéédę́ę́' lą́ą éé' da'ílíinii áádóó éé' tsídídééh nahalingo łichí'ígíí áádóó na'at'ą́hí bibąąhgóó nidaashch'ąą'go ádaalyaii áádóó éé' biih ná'niłí dilk'is bee ályaii índa tł'óół ts'ósí bee daastł'óonii éí ninaalyéhé biniyé nił ałgháá' da'a'nil nít'éé'. 
26:27:025:0	Társhishdóó tsinaa'eełgi ádaat'éii éí bii' naalyéhé ná háádadilbį́įhgo tsinaa'eeł hééł bii' ayóó áníłdáasgo ná dah da'íyeeh łeh nít'éé', áko éí tsinaa'eeł ná nídadi'oł nít'éé'. 
26:27:026:0	Diné éí tsin yee nida'ał'eełii tónteel dahiníyį́ bii'góó nił da'íł'eeł; ha'a'aahdę́ę́' deeyolgo tónteel ałníi'gi níyol éí tsinaa'eeł niyiizti'. 
26:27:027:0	Nit'íinii áádóó ninaalyéhé áádóó lą'ígo naalyéhé yíyéełii áádóó diné nida'ał'eełii áádóó bik'ehgo nida'a'eełii áádóó tsinaa'eeł tó biih daazlį́į́dę́ę́' yidánída'di'a'ii áádóó diné naalyéhé baa dahéenííhdóó deiyéełníihii áádóó diné nidaabaahii índa siláo dah naazhjaa'go dah deínéehii t'áá bóóltą'go ałtso atíni'diilyaa bijį́į́ góne' éí t'áá át'é taah doołdas. 
26:27:028:0	Diné ná nida'ał'eełii hadadeeshghaazhgo ninaagóó kéyah ditłid doo. 
26:27:029:0	Tsin bee na'al'eełí yee nida'ał'eełii t'áá ałtso áádóó bik'ehgo nida'a'eełii ałdó' t'áá ałtso tsinaa'eeł yii'dę́ę́' haakaigo tábąąhgóó naazį́; 
26:27:030:0	ayóó íits'a'go daachxa doo áádóó atínídadindleeh áádóó łeezh dibahí bitsiits'iin yik'ídayiighaas doo índa łeeshch'iih tahgóó nidaamaas dooleeł; 
26:27:031:0	niniinaa bitsii' ałtso deidooshih áádóó tł'oh azis biníí' gónaa nídeidoołt'ih, t'áá íiyisí nąąh dabíni'go naa atínídadindleeh doo. 
26:27:032:0	Niniinaa ák'idadiit'aahgo naa yínííł danilį́įgo naa daachxago ádaaníi doo, Tónteel ałníi'di Táir ábi'disdįįdígi át'éegoshą' háí déesxéél? 
26:27:033:0	Tónteel wónanídę́ę́' ninaalyéhé bił ha'naa ni'ii'eeł yę́ędą́ą́' diné t'óó ahayóí bił t'áá da'áko nít'éé'; niyódí áádóó ninaalyéhé t'óó ahayóígíí bee nihokáá'góó aláahgo naat'áanii danilíinii yee da'ast'įįd. 
26:27:034:0	K'ad éí tónteel bee nihíníltǫ'go táłtł'ááh góyaa íínílts'id; ninaalyéhé áádóó diné nii' yíl'áá nít'éé' yę́ę t'áá ałtso nił taah yíłdááz. 
26:27:035:0	Tónteel bibąąhgóó diné eel'áii éí t'áá ałtso nik'ee t'óó bił adahayóí; aláahgo naat'áanii hondant'áii éí t'áá ałtso nídaaldzid áádóó binii'jį' yee doo ákódanoolnin da. 
26:27:036:0	Diné bitahgóó diné baa nida'iiniihii éí ałjeeh nídanilniih; t'óó hóyé'ígi át'éego nihoníníł'ąąd; hool'áágóó doo nááhonídlǫ́ǫ da doo. 
