38:8:001:1	Jerúsalem hasht'éédoo'níiłgo bee nihoot'ą́
38:8:013:0	Júdah dine'é danohłíinii índa Ízrel dine'é danohłíinii, ał'ąą dine'é bitahgóó yóó'abí'oodzíi'ii danohłį́į́ yę́ędą́'ígi át'éego yisdánihideesh'niłgo nihits'ą́ą́dóó ak'ihojidlí hólǫ́ǫ doo. T'áadoo nihił daayé'í, nidi háni'dii danihidziilgo ída'dołnééh. 
38:8:014:0	Háálá t'áá ałtsoní bee Bóhólníihii kóní, Danihizhé'é yę́ę shíkada'iiłhilgo shá dahóółchįįdgo atínihideeshłííł niizį́'ígi át'éego t'áadoo łahgo át'éego tsíńdíkéez da, ní t'áá ałtsoní bee Bóhólníihii. 
38:8:015:0	Kót'éego díí jį́į́góó Jerúsalem bich'į' índa Júdah dine'é danilíinii bich'į' ts'ídá yá'át'éhígi ádeeshníiłgo tsínáádíkééz. T'áadoo ádił dahonołyé'í. 
38:8:016:0	Díí éí baa naahkai doo: t'ááłá'í nootínígo bił kéédahoht'íinii saad t'áá aaníinii bee bił ałch'į' yádaałti'; nihił yah ada'iiztiingi t'áá aaníinii índa k'é hwiindzin bee nidahodiyoh'aah; 
38:8:017:0	bił kéédahoht'íinii nihijéí biyi'dóó t'áadoo nichxǫ́'ígo bee baa nitsídaahkeesí índa t'áá ádzaagóó ádee ha'diidziihii t'áadoo nihił ayóó ádaat'éhí, háálá díí kódaat'éhígíí t'áá ałtso jooshłxá, ní Bóhólníihii. 
38:8:018:0	Áko t'áá ałtsoní bee Bóhólníihii shich'į' hanáánáádzíí', 
38:8:019:0	T'áá ałtsoní bee Bóhólníihii kóní, Dį́į́' nídízííd binih áádóó ashdla' nídízííd binih áádóó tsosts'id nídízííd binih índa neeznáá nídízííd binih hodílzingo doo adánígíí nídaoł'aahgo Júdah dine'é yaa bił dahózhǫ́ǫgo bił nidahoozhǫǫh doo. Hodílzingo áłah nída'adleeh t'áá íiyisí yaa bił nidahoozhǫǫh dooleeł; éí bąą t'áá aaníinii índa k'é hwiindzin ayóó'ádeínóh'ní. 
38:8:020:0	T'áá ałtsoní bee Bóhólníihii kóní, Dadine'é éí t'óó ahayóí kin hadaas'áágóó kéédahat'íinii Jerúsalemjį' nídeíkáah dooleeł. 
38:8:021:0	Łahgo kin haal'áagi kéédahat'íinii náánáłahjį' ádeididooniił, Sołtį'éi, Bóhólníihii bibee ak'ihojidlíii bídeídíikił, áádóó t'áá ałtsoní bee Bóhólníihii há deiit'į́į doo! Shí ałdó' ákǫ́ǫ́ díyá. 
38:8:022:0	T'áá aaníí dadine'é t'óó ahayóí áádóó ał'ąą dine'é bidziilgo dah deíkáahii t'áá ałtsoní bee Bóhólníihii hádaat'į́įgo áádóó Bóhólníihii yee ak'ijidlíii yídayókeed biniyé Jerúsalemjį' nidahidookah. 
38:8:023:0	T'áá ałtsoní bee Bóhólníihii kóní, Éí yoołkáałdi ał'ąą dine'é bizaad ał'ąą ádaat'éii bitahdę́ę́' diné neeznált'éego yíkaigo Jew dine'é nilíinii bi'éé' dayótą'go ádadidooniił, Haa'íshą' nił yiikah dooleeł, háálá Diyin God nił hólǫ́ǫgo naa dahosidiits'ą́ą́'.
