14:13:001:1	Abáíjah nant'áá nít'éé'
14:13:011:0	Áádóó t'áá ákwíí bíní áádóó e'e'áahgo Bóhólníihii bich'į' didlidgo nááhániihii índa tsin bijeeh dilidgo łikání halchinii nínáádayiiłnih, áádóó Diyin God bich'į' bááh nááhániihii ałdó' éí bikáá adání chin bąąh ádinii yikáá' ninádei'nił índa bee dahool'iní bá yada'ii'áhígíí éí bee dahool'iní t'áá bił óola bee ályaaígíí ak'ah bił e'e'áahgo dadiltłi' biniyé hasht'éédayiil'įįh, háálá nihí éí Bóhólníihii nihiDiyin God yich'į' nihííł'aadígíí bik'eh dahoniil'į́, nidi nihí éí yóó'adahosidoo'ą́. 
14:13:012:0	Áádóó jó, Diyin God éí t'áá bí nihinanit'a'í nilį́įgo nihił hólǫ́, áádóó binááda'iiłniihii éí béésh dilní bee í'dílzoołí nihich'į' deididoołts'į́įłgo yee nihida'doołnih. Ízrel dine'é nohłíinii, danihizhé'é yę́ę biDiyin God Bóhólníihii t'áadoo bik'ijį' danohłíní, háálá doo ła'dadoohłíił da. 
14:13:013:0	Nidi Jerobówam bisiláo ła' hane'dę́ę'go haa héeshjée'go áyiilaa; ła' éí Júdah dine'é bidááhdę́ę'go yaa héeshjéé', áádóó ła' yine'dę́ę'go yaa héeshjéé'. 
14:13:014:0	Áko Júdah dine'é t'ą́ą́' nídadéét'į́į́' nít'éé', jó, hadááhdę́ę́' índa hane'dę́ę́' hwe'ana'í yíl'á, áko Bóhólníihii bich'į' hadazhdeeshghaazhgo nááda'iiłniihii béésh dilní bee í'dílzoołí yee ádadííniid. 
14:13:015:0	Ákohgo Júdah dine'é hadadeeshghaazh, áko dazhdilwoshgo, Diyin God éí Abáíjah áádóó Júdah dine'é binááł Jerobówam áádóó Ízrel dine'é t'áá ałtso atíyiilaa. 
14:13:016:0	Áádóó Júdah dine'é yik'ee Ízrel dine'é dadínéezhchą́ą́', áko Diyin God éí Júdah dine'é yaa hodiní'ą́. 
14:13:017:0	Áádóó Abáíjah bidine'é yił éí siláo t'óó ahayóí nideistseed, áko ashdladi neeznádiindi mííl Ízrel bisiláo náhaasdláa'ii naaztseed. 
14:13:018:0	Íídą́ą́' kót'éego Ízrel dine'é hak'eh dahodeesdlį́į́', índa Júdah dine'é éí dahoneesná, háálá éí t'éiyá dabizhé'é yę́ę biDiyin God Bóhólníihii yaa dadzólíí nít'éé'. 
14:13:019:0	Áko Abáíjah éí Jerobówam yinoołchéeł go, áko kin hadaas'áii éí Béthel áádóó Jiishéínah índa Íífrayin, kin dah naazhjaa'ígíí t'áá daabił yighaideet'ą́. 
14:13:020:0	Abáíjah bíyoołkááł yę́ędą́ą́' Jerobówam éí t'áadoo bidziil násdlį́į' da. Áádóó Bóhólníihii atíhoolaago dadziztsą́. 
14:13:021:0	Nidi Abáíjah éí ayóó át'é silį́į́'. Ba'ákéí éí dį́į́'ts'áadah shóyoost'e', áko biye'ké éí naadiin naaki áádóó bitsi'ké éí hastą́'áadah nít'éé'. 
14:13:022:0	Áádóó Abáíjah łahjį' ádzaaígíí áádóó át'é nít'é'ígíí índa hahaasdzíi'ii éí Diyin God yá halne'ii Ído baa hane' bik'inídaháasdzoh.
