14:9:001:1	Shííbadóó asdzą́ą́ naat'ááh éí Sálaman yaa níyá
14:9:011:0	Aláahgo naat'áanii éí Bóhólníihii bikin bii' sohodizin áádóó aláahgo naat'áanii bighan bíyah danii'áhígíí tsin álmug bídáátsélígíí yee áyiilaa, tsin tł'óół naakits'áadah bąąh daneelzhee'go bee nida'a'néii índa tsin tł'óół neeznáá bąąh daneelzhee'go bee nida'a'néii éí dahataałígíí yá áyiilaa áádóó éí tsin álmug bídáátsélígíí Júdah dine'é bikéyahgi ákót'éii t'áadoo nídadziiltsą́ą da. 
14:9:002:1	Sálaman ast'įįd áádóó t'áá át'é nít'éé' béého'dílzin
14:9:012:0	Áádóó aláahgo naat'áanii Sálaman éí Shííba kéyahdóó asdzą́ą́ naat'ááh yinízinii t'áá át'é hóyííkeedígíí baazhdiní'ą́ índa aláahgo naat'áanii baazhníláhígíí bideená haidiní'ą́ągo hakéyahgóó há nidaal'a'í bił aníjookai. 
14:9:013:0	Áko t'ááłá'í nááhaijį' hastą́ądi neeznádiindóó ba'aan hastą́diindóó ba'aan hastą́ą́h tálent dah hidiidloh bíighahgo óola éí Sálaman baa náhágééh. 
14:9:014:0	T'áá náábíláahgo naalyéhé yá naazdáii áádóó naalyéhé baa nidahaniihígíí índa Aréíbiya kéyahdę́ę́' aláahgo naat'áanii t'áá ałtso áádóó kéyahdóó naat'áanii danilíinii ałdó' óola áádóó béésh łigaii éí Sálaman yaa nídeigééh. 
14:9:015:0	Aláahgo naat'áanii Sálaman éí naakidi neeznádiin naagé nitsaaígíí óola t'áá bízhání yee ádayiilaa; éí t'ááłá'í ní'ą́ bik'ehgo óola hastą́ądi neeznádiin shékel wolyéii bíighahgo bee ádaalyaa. 
14:9:016:0	Índa táadi neeznádiingo naagé áłts'ísígíí óola t'áá bízhání yee ádayiilaa; éí t'ááłá'í ní'ą́ bik'ehgo óola táadi neeznádiin shékel wolyéii bíighahgo bee ádaalyaa. Áko aláahgo naat'áanii éí Lébanan kéyahdę́ę́' dilk'is dantsxaazii bee kin ályaa wolyéii biyi' góne' niinínil. 
14:9:017:0	Náá'áłdó' aláahgo naat'áanii éí yikáá'dóó nant'áii ayóó ánóolningo áívori wolyéii yee áyiilaa áádóó éí óola t'áá bízhání yik'íísti'. 
14:9:018:0	Bikáá'dóó nahat'áii bich'į' hastą́ągo ałk'i hoo'nilí haaz'á áádóó bik'i dah adées'eezí óolago bikáá'dóó nahat'áii bidii'á índa bik'i dah asdáhí ałts'ą́ą́hjí ní'áhígíí hólǫ́; éí ałts'ą́ą́hjí bíighahgi náshdóítsoh bitsiijį' daditł'ooígíí be'elyaago sizį́. 
14:9:019:0	Náshdóítsoh bitsiijį' daditł'ooígíí naakits'áadahgo éí naaki níláago ałk'i hoo'nilí ałts'ą́ą́hjí yikáá' dah naazį́, áádóó náánáła' bee óhólníihii bił nahaz'ą́ą́góó doo ła' ákót'éego ánáánályaa da. 
14:9:020:0	Aláahgo naat'áanii Sálaman bibee adlání t'áá át'é óola bee ádaalyaa, índa Lébanan kéyahdę́ę́' dilk'is dantsxaazii bee kin ályaa wolyéii biyi' ásaa'ígíí éí óola t'áá bízhání bee ádaalyaa; béésh łigaii éí doo bee ádaalyaa da, háálá Sálaman bíyoołkááł yę́ędą́ą́' éí doo da'ílį́į da. 
14:9:021:0	Háálá Sálaman bitsinaa'eeł éí Háíram bá nidaal'a'í Társhish kéyahgóó nída'dił'ołgo táá' nínáhah bik'eh Társhishdóó tsinaa'eełgi ádaat'éií yee óola, béésh łigaii, áívori wolyéii, mągítsoh índa tsídii bitsee' naashch'ąą'ígíí pííkak wolyéii ninádayiigééh. 
14:9:022:0	Kót'éego lá aláahgo naat'áanii Sálaman éí nihokáá'góó aláahgo naat'áanii danilíinii t'áá ałtso yiláahgo yódí índa bee hódzáanii yist'įįd. 
14:9:023:0	Áádóó nihokáá'dóó aláahgo naat'áanii danilíinii t'áá ałtso Sálaman éí Diyin God bee hódzáanii biih yiyííláhígíí bá dideests'į́į́ł danízin nít'éé'. 
14:9:024:0	Áko diné t'ááłá'í nítínígo aa deidooléełii nidayiijááh nít'éé': éí béésh łigaii bee ádaalyaii áádóó óola bee ádaalyaii áádóó éé' ádaat'éii áádóó deezlá índa spáis daolyéhígíí, łį́į'da índa dzaanéezda t'ááłá'í nináháhááh bik'eh aa dajiinííł nít'éé'. 
14:9:025:0	Sálaman éí dį́įdi mííl łį́į́' áádóó tsindaabąąs bijáád naakiígíí dabighan bee hólǫ́ índa naakits'áadahdi mííl łį́į́' yee nidaabaahígíí, éí díí bá hasht'edahoot'éegi kin hadaas'áágóó niyiiznil, áádóó Jerúsalem kin haal'áagi aláahgo naat'áanii binaashiigóó yił niinínil. 
14:9:026:0	Áádóó tooh nílíní Yufréítiizdóó Filístiya dine'é bikéyahjį' áádóó Ííjip dine'é bikéyah bibąąhjį' aláahgo naat'áanii danilíinii t'áá át'é éí Sálaman yinant'á. 
14:9:027:0	Áádóó aláahgo naat'áanii tsé yíl'áhígíigi át'éego Jerúsalemgi béésh łigaii bee áda'azįįdgo áádóó síkamor tsin honíts'aa'gi yíl'áhígíigi át'éego dilk'is tsin bee áda'azįįdgo áyiilaa. 
14:9:003:1	Sálaman daaztsą́
14:9:028:0	Áko Ííjip kéyahdę́ę́' áádóó t'áá ałtso kéyah naaznildę́ę́' Sálaman éí łį́į́' baa heesgį́.  
14:9:029:0	K'ad Sálaman łahjį' átsé áádóó akée'di yaa naayáhígíí éí Diyin God yá dahalne'ii Néíthan áádóó Sháíloh haz'ánídóó diné nilíinii Aháíjah índa á oo'íinii Ído wolyéii éí Nííbat biye' Jerobówam bídéét'i'ii yiyiiłtsánígíí díí bindaaltsoos bik'inídaháasdzo. 
14:9:030:0	Jerúsalemgi Sálaman éí Ízrel dine'é t'áá ałtso yinant'áago dízdiin nááhai. 
14:9:031:0	Áádóó Sálaman dahazhé'é yę́ę da'iiłhaazhígi át'éego ajiiłhaazh áádóó hazhé'é David yę́ę bikin haal'áagi yóó'áho'diilyaago haye' Riihobówam hatsásk'ehgi nant'áá nít'éé'.
